he	6371:54449:777:282 4018:54062:799:297
went,	5106:54136:1554:297
sore	7015:54181:1243:208
of	8280:62057:532:297 9701:55845:577:267 7170:61017:577:356 8613:54107:643:267
pauli's	9590:54092:1909:282
safety.	4018:54434:1665:371
did	7481:54449:888:297
know	10056:54478:1487:267
his	4062:56915:777:282 4018:54805:799:282
stern	5017:54879:1376:222
old	6593:54805:865:312
father".-	7703:54820:2020:297
wilful	9967:54820:1554:297
pride	4018:55177:1443:356
i	5550:55177:111:282
the	4018:56187:910:282 7992:61002:865:356 4018:55801:1065:297
thrilling	5305:55816:2286:371
drama	7725:55816:1753:297
how	10456:55845:1087:267
yonng	5239:56276:1798:297
captain	7348:56217:2175:341
found	9834:56202:1687:297
and	6504:62458:999:297 6637:56559:999:297 4195:61730:1176:297 4062:56544:999:297
lost	5350:56544:976:312
finally	7947:56559:1731:371
fonnd	9945:56574:1620:282
lovely	5106:56915:1620:371
bride	6926:56930:1465:297
in	8613:56945:577:282
wartorn	9390:57005:2175:222
vienna.	4040:57272:2086:312
now	4084:57911:1198:297
playing	5461:57926:2153:356
on	7792:58045:688:193
broadway	8746:57956:2863:356
at	11055:58387:555:208 4084:58342:555:237
$2.00.	4928:58312:1687:312
coming	7170:58297:2153:386
here	9590:58312:1176:282
regular	5860:58669:2020:356
pricet.	8014:58699:1798:356
also	7126:59501:1665:297
"	11144:59338:266:89
max	5372:60066:1398:386
davidson	7148:60021:3307:401
—in—	7170:60556:1931:267
"the	4151:61047:1354:371
call	5794:61032:1110:356
cookoo"	9124:60943:2553:416
elaborate	5838:61700:2641:297
surrounding	4440:62131:821:326 8968:61611:2442:341
program	5550:62102:2419:326
pictures	9102:62042:2197:312
music	7814:62429:1598:326
iiiiiiiiiiiiiiiiibiiiiiimiiiiiiiiiimiiiii_	2863:63588:10434:549
arena	16317:26199:8080:906
skating—soc	17316:27358:6060:445
sat.	16072:28131:1354:267
and	18514:28591:954:282 17737:28131:976:267
sun.—2:3o	19025:28131:3307:267
to	22755:28636:488:237 22644:28175:510:208
5:00	23487:28131:1198:252
tonight	15318:28606:2775:267
sat.—b	19891:28591:2419:282
10:30	23732:28606:1531:267
tomorrow	17560:29230:5416:445
amateur	17049:29988:3219:356
boxing	21112:29973:2419:371
i	14452:30939:421:2392
sunday	18492:30746:3640:416
pro	18226:31504:1243:282
hockey	19802:31489:2619:297 20868:32678:2042:341
providence	16317:31965:4107:356
vs.	20779:32098:710:222
eagles	21867:31950:2442:371
skating	15673:32708:2020:326
after	18004:32693:1420:282
all	19758:32678:777:282
games	23221:32678:1776:282
ikt-zafe	28749:2481:3618:772
george	40537:2214:3862:787
&	44578:12928:466:371 32656:12735:444:252 57298:10149:333:208 44911:2229:999:639
harry's	46442:2243:3973:802
