characters	12424:24629:3621:433 3727:28734:3621:453
be	3780:28033:766:453 5155:25289:793:453 11737:26671:766:453
dressed	6159:25289:2590:453
for	8908:25310:978:453
'50sin	11552:25310:1824:453
fedoras	13561:25289:2484:474
fuzzy	3806:25970:1797:577
sweaters.	5842:26011:3198:433
maybe	13826:28033:2247:577 3040:26671:2299:577
supposed	7375:26671:3093:577
1950s	14196:26713:1665:412
(the	2432:27352:1321:474
occasional	3991:27352:3542:453
chevette	7798:27352:2934:453
on	7454:28157:766:330 10970:27476:766:330
can	2352:28157:1216:330
blamed	4758:28033:2511:453
low	8433:28033:1110:453
budget).	9781:28033:2775:577
or	12821:28054:793:433
what's	9728:28734:2194:453
hip.	12239:28734:1189:556
hip,	13773:28734:1348:556
fact,	2379:29415:1506:556
half	4969:29415:1321:453
point	7798:29415:1665:577
willie	3066:30096:2088:474
(played	5895:30096:2670:577
transcendent	11420:30096:4652:474
hipness	2379:30818:2537:536
lounge	6529:30818:2458:536
lizard	9384:30797:2194:453
john	11975:30818:1559:433
lurie)	13931:30818:2088:474
moved	17527:6621:2220:474
to	30586:26671:608:433 30560:22505:608:412 28709:9365:608:433 20302:8044:634:433 20064:6662:660:433
the	21016:6621:1031:474 24215:14914:1242:453 24902:29415:1057:453 30189:28033:1057:453 22629:28734:1004:453 19351:26671:1242:453 19192:17698:1031:453 22735:28033:1031:453 27519:23165:1031:453
new	22364:6745:1321:330
world	24003:6559:1903:515
from	26277:6621:1533:412
hungary	28180:6621:2828:515
ten	17553:7384:1004:412
years	18875:7446:1876:453
ago,	21043:7426:1374:453
but	22787:7302:1031:474 29952:12809:1163:453
has	24136:7302:1136:474 26409:19039:1136:453
decided	25590:7281:2564:474
that	28445:7302:1321:433 22206:8684:1295:453 29872:25248:1321:474
it's	30084:7261:1004:474 26409:24567:1057:453 30110:16254:1031:474
not	17527:8044:1031:433 25087:10788:1004:433
cool	18769:8024:1321:453
be	21148:8003:766:453
hungarian	22126:8003:3542:556 20699:21803:3542:577
anymore.	25854:8086:3145:474
when	29238:7962:1850:453
he	17527:8725:793:433
gets	18610:8746:1348:515
word	20250:8684:1665:474
his	23818:8684:925:453 26541:18358:925:453
16	25087:8725:608:412
year-old	25986:8643:2749:598
cousin	28973:8663:2114:453
eva	17527:9426:1374:433 22391:24609:1321:433 28048:21102:1321:453 22946:16316:1348:453 17553:13573:1374:453
(eszter	19377:9406:2458:474
balint)	22232:9385:2299:453
is	29740:23866:502:453 30639:23165:528:433 27757:10045:528:453 24241:26671:528:433 24982:9365:502:453
coming	25880:9365:2458:556
stay	29687:9365:1401:536
with	17527:10107:1453:453 25484:13531:1427:453 17606:21824:1427:495
him,	19192:10087:1506:556
willie's	20963:10066:2458:474
equilibrium	23660:10045:3859:577
disturbed.	17527:10788:978:453 28498:10025:2299:474
she	23184:22505:1163:453 27572:16976:1110:453 22444:16997:1083:453 18796:10788:1163:453
upsets	20197:10809:2088:536
him	17579:14934:1295:453 22523:10788:1295:453
by	27202:11427:819:577 27519:14192:793:577 24056:10767:793:577
understanding	26330:10726:4758:556
football,	17553:11469:2749:556
tv	20673:11469:1031:433
dinners	22259:11469:2458:453
and	25061:18358:1216:453 26198:21783:1216:474 20699:14253:1216:453 17632:21123:1216:474 25378:11448:1189:453 22787:25269:1216:474
playing	28630:11407:2484:577
screaming	17553:12191:3621:556
jay	21466:12191:1189:556
hawkin's	22972:12149:3093:474
"i	27334:16296:660:433 26409:12149:660:433
put	27361:12149:1163:433
a	20223:24010:370:350 27757:19163:370:330 21281:30240:343:330 28815:12232:396:330 18373:29436:502:433 18320:18379:475:453 24532:16419:343:330 29502:20524:370:350 30771:21906:370:330 24030:15739:370:330
spell	29476:12087:1639:598
on	21095:12995:793:330 17579:12892:898:433 30375:19163:766:330
you,"	18822:12871:1956:536
her	19324:21824:1110:453 22179:12871:1110:433
cassette	23580:12871:2696:433
recorder.	26568:12809:3040:495
turns	19483:13573:1718:453
american	21730:13552:3251:453
frightening	27440:13511:3674:556
rapidity,	17579:14253:2881:577
wins	22074:14253:1533:453
willie	23792:14233:1903:453 22893:18358:1929:453 19086:16316:1929:453
over	25880:14336:1453:350
stealing	28471:14192:2670:556
chesterfields.	19271:14914:4547:474
two	25854:14934:1136:433
are	27334:15017:1110:330 28101:29518:1110:350
clearly	28788:14872:2326:556
kindred	17606:15615:2564:474
spirits:	20461:15635:2326:556
in	29899:21783:634:453 18320:17698:608:453 26541:23185:581:433 23157:15635:608:433
rare	24691:15718:1453:350
burst	26409:15594:1691:453
of	27149:30096:634:453 19271:16997:634:453 28365:15574:634:474
affection	29264:15574:1586:474 17606:16316:1242:453
buys	21201:16316:1533:556
dress.	25114:16296:1929:453
think	28233:16254:1691:474
kind	17606:16997:1453:453
ugly,"	20117:16997:2088:556
says;	23766:17100:1718:453
later	25775:16997:1586:453
throws	28894:16956:2247:474
it	17606:17719:502:433
trash.	20461:17678:1876:453
year	19060:18503:1533:433
later,	20831:18379:1771:556 22893:29415:1771:536
friend	27731:18338:2009:474
eddie	17632:19080:978:453 29978:18338:793:453 29264:30776:1982:453
(richard	18928:19060:2934:495
edson),	22074:19039:2590:577
who	24902:19060:1321:433
crush	28339:19039:1824:453
eva,	17632:19782:1533:536
get	19430:19782:1004:536
caught	20620:19761:2273:556
cheating	23078:19740:2828:556
at	26092:19761:634:412
poker.	26964:19720:2035:577
packing	17632:20483:1031:536 29211:19720:1586:453
up	18848:20586:793:433
their	19827:20462:1559:453
"winnings"they	21545:20401:5234:577
borrow	26964:20401:2352:474
car	30057:20524:1110:350
head	19060:21123:1612:474
for	20884:21143:951:453
cleveland,	22074:21102:3463:556
where	25775:21123:2035:433
lives	29634:21102:1506:453
aunt	24506:21845:1453:412
works	27652:21783:1982:453
hot	17632:22525:1031:453
dog	19113:22505:1163:577
stand.	20725:22505:1956:453
takes	24770:22484:1771:474
them	26991:22484:1639:453
out	29079:22505:1031:433
scenic	17632:23227:2062:433
lake	17659:24609:1665:453 20117:23206:1639:453
erie,	22153:23206:1639:515
which	24188:23185:1956:453
now	28921:23288:1321:330
merely	17659:23907:2352:556
white	20831:23887:1797:474
expanse.	22840:24010:2881:433
"well,	26013:23866:2035:536
this	28339:23866:1163:453
it.	30480:23866:634:453
erie,"	19800:24588:2088:556
says.	24241:24712:1639:433
lines	27942:24567:1559:453
like	29952:24547:1242:474
these	17685:25310:1718:453
—	19668:25537:634:61 28973:25516:660:61
funny	20540:25289:1850:556
gently	24400:25269:2035:577
ironic	26832:25269:1903:453
make	17685:25991:1824:453
stranger	19747:26032:2881:495
than	22893:26011:1639:412
paradise	24770:25991:2960:433
so	27916:26094:713:330
charming.	28762:25970:2062:453 17685:26671:1189:577
dialogue	21043:26671:2775:556
sparse	25220:26775:2167:453
enough	27784:26651:2352:556
give	17712:27352:1401:577
each	19351:27352:1533:453
utterance	21175:27373:3172:433
tremendous	24585:27332:3912:474
weight.	28762:27332:2405:577
you	22655:30921:1189:412 17685:28074:1321:433
can	19351:28177:1163:309
hear	20884:28033:1480:453
audience	24109:28033:2907:453
quoting	27361:28033:2458:577
characters	17712:28734:3568:453
all	21518:28734:845:453
way	23845:28837:1374:453
home.	25457:28734:2009:453
few	19113:29415:1163:453
scenes	20487:29518:2167:350
three	26171:29415:1718:453
