the	45797:12760:1006:423 42494:10704:980:423 42597:10038:954:423 37514:14030:954:423
rest.	43810:10099:1419:383
"it's	34315:10663:1444:423
weird	35992:10663:1831:423
because	38082:10663:2580:443
with	40869:10704:1367:423 33541:16046:1367:423
piano	43707:10724:1728:524
i'm	45693:10744:1083:423
used	33593:11308:1470:443
sitting	36121:11329:2012:564
down	38392:11329:1651:443
in	40301:11369:567:403
front	41101:11369:1573:423
an	43707:11510:748:302
instrument	44687:11409:1831:423 33593:12014:1651:423
over	35915:12115:1419:322
which	38005:12014:1883:443
have	41514:12054:1522:423
much	44997:12095:1806:423
control,"	33567:12679:2915:503
said,	39398:12699:1522:524
adding	41127:12699:2193:564
at	44997:12780:619:403
je	33567:13344:903:423
gig	34702:13344:980:544
"just	36921:13344:1599:544
came	38727:13485:1754:322
out	40688:13425:980:403 44997:13445:980:423
and	41875:13385:1161:443
went	43242:13445:1548:403
control"	33567:14010:2683:443
drums.	38727:14030:2244:463
although	34212:14675:2915:564
fellow	39114:14715:1960:443
members	43707:14776:3044:423
consider	33541:15360:2709:443
him	36560:15380:1238:443
quite	38108:15401:1599:544
good	39991:15421:1522:524
drummer	43681:15421:3070:463
little	36405:16046:1496:423
experience,	38340:16086:3715:524
said	45435:16126:1290:423
that	48222:13324:1238:423 48222:6591:1212:423 51473:11994:1212:423
he	49951:6611:696:423 50467:8627:696:403
is	52892:14675:490:423 51163:6611:490:423
"an	52195:6632:1135:403
infinitely	53821:6632:2889:524
better	57201:6632:1909:423
piano	59600:6652:1728:524
player	48170:7257:2064:544
than	50492:7277:1393:423
drummer."	52118:7277:3715:443
"the	48867:7962:1573:403
go	57897:13344:851:443 50699:7962:877:423
code	51834:7962:1548:423
does	53640:7962:1419:443
not	55317:8002:980:403
need	56581:7982:1470:423
keyboard	58336:7982:2992:524
now,"	48170:8627:1883:463
added,	51524:8627:2089:483
"even	54079:8668:1831:403
though	56323:8647:2167:524
i	58852:8668:206:403
would	59445:8668:1857:423
much	48196:9293:1728:423
rather	50209:9293:2012:423
play	52479:9313:1341:524
it."	54105:9313:1032:423
although	48815:9958:2863:544
most	52350:10018:1548:403
of	60761:11329:567:443 54543:9978:593:423
the	55782:9998:954:423 57227:14010:980:443 60348:10663:980:423 56401:13344:954:443
music	57381:9998:1935:423 50725:14675:1909:423
