threw	27078:13748:1419:284 37325:24663:1397:284 37280:20870:1419:269 34552:3718:1441:284 27101:9460:1419:284 37258:19446:1419:284 37258:21800:1441:299 35639:16582:1441:284 37214:8006:1419:284
solomon.	36371:3718:2262:284
j.	27056:4183:399:359
m.	27744:4183:620:299
brodie,	28675:4183:1752:329
e.	33310:4198:510:299
rotan,	34109:4198:1596:344
were	37480:4288:1175:209
also	27056:4662:953:299
victorious	28365:4662:2439:314
over	31181:4782:1086:194
their	32645:4677:1131:299
bruin	34175:4662:1419:299
rivals.	35972:4662:1485:299
summaries	29097:5157:2639:299
for	32246:5157:709:284
university	31470:6117:2750:329 34663:5142:2639:344
freshman	27101:5622:2439:284
meets	29828:5682:1375:224
are	31514:5742:754:179
as	32534:5742:487:164
follows:	33310:5622:2018:299
115-pound	27633:6566:2506:359 27677:16582:2506:359
class—bisson,	30583:6581:3526:329
1929,	35062:11814:1153:344 34597:6566:1175:344
cardon,	27056:7061:975:299 37546:6566:820:299
brown,	29540:23734:1774:329 28298:17077:1796:314 29207:22294:1796:344 31824:9460:1796:299 29097:10870:1818:329 27078:15173:1796:329 34730:18006:1796:329 36837:13268:1796:299 28542:7061:1774:314 34708:8006:1796:314 29252:25158:1796:329 29784:19925:1796:344 35062:20870:1774:329 30449:12294:1818:344
draw.	30782:7076:1375:284
overtime	33044:7061:2328:284
period,	35816:7061:1663:329
referee's	27056:7541:1552:284 37968:7136:443:194
decision.	28941:7541:2106:284
125-pound	27677:18006:2506:359 27633:8006:2483:359
class—stein,	30804:8006:3171:329
drake,	27056:8486:1663:329
1929.	29052:8486:1175:314
6:02.	36327:8471:1219:299
135-pound	27699:19446:2483:359 27633:8950:2506:359
class—captain	30716:8965:3681:344 30627:14678:3659:359
dodd,	34996:8965:1441:329
19295,	31425:13748:1552:299 37081:8950:1552:344
anderson,	28897:9460:2528:329
head	36083:9460:1153:284
scissors	37635:9445:864:284 35595:19910:1885:299 27078:10030:931:179
arm	34264:20015:975:194 27145:25728:975:179 29451:10030:975:179
hold	30693:9925:1042:284 28409:25623:1042:284
8:57.	32756:9925:1197:284
145-pound	27699:20870:2483:344 27611:10375:2506:374
class—sargent,	30472:10405:3836:344
19305,	34708:10390:1552:329
defeated	27101:18501:510:299 36992:17991:1463:284 36681:23224:2040:314 36615:11814:2018:299 36615:10375:2018:314
alper,	27078:10870:1530:344
time	33687:10870:1042:299 34730:12294:1042:299 33865:18486:1042:284 33887:23719:1086:299
advantage	35351:23719:2506:329 35218:10870:2483:329 35306:18471:2506:344 36149:12294:2483:329
7:01.	27056:11349:1175:284
158-pound	27699:21830:2483:344 27633:11829:2483:344
class—hoffman,	30516:11829:4102:299
wentworth,	27056:12309:3016:329
4:12.	27810:12774:1197:284
175-pound	27677:13268:2483:344 27722:23254:2461:359
class—a.	30693:13268:2306:284
cornsweet,	35927:14678:2727:329 33554:13268:2727:314
kreider,	28919:13748:2062:314
3:40.	27855:14228:1175:284 27123:22789:1197:284
unlimited	27744:24678:2461:299 27633:14678:2506:314
h.	34774:14678:620:299
won	29141:15263:1020:194
from	30427:15173:1197:284
d.	31891:15173:532:284
w.	32712:15173:731:284
smith,	33754:15158:1574:344
1930,	35661:15158:1153:344
by	37058:15158:598:344
default.	37901:15158:510:269 27078:15652:1241:269
freshmen	31558:16117:2594:284
class—hyde,	30560:16597:3215:344
1932	34220:16582:1042:299
chaset,	37502:16567:887:299 27101:17122:776:284
chancery	27078:17661:1042:239 37325:17047:1086:284
4:14.	29252:17541:1175:299
class—owery,	30649:18006:3570:344
eustis,	28032:18486:1663:344
1:21.	27123:18981:1175:284
class—robison,	30826:19446:3903:314
1933,	35395:19446:1175:329
solomon,	27123:19940:2284:299
an	33377:20015:532:194 38189:25218:532:194
reserve	33776:22384:1796:194 27699:20495:1752:209
8:10.	32645:20390:1219:299
class—spiewak,	30605:20870:3991:344
bullard,	27123:21365:1973:329
further	32756:21350:1729:284
0:50.	37480:21320:1197:314
class—brodie.	30960:21815:3548:314
small,	27123:22294:1574:344
class—brewster,	30560:23254:4169:329
palmer,	27167:23734:1929:344
8:55.	27123:24198:1219:299
class—rotan,	31048:24678:3371:314
teietz,	27167:25158:1685:344
3.	30560:25638:354:269
h	2328:37392:820:779
illlllilhiiiiii	4235:37497:1907:329
iiililllllllllllllllllllllllllllllllllljlm	6830:37467:6165:479
llllllllllllllllllllllillllllllllllllllllllliiiiiiyiiiiiiiiiiummmjmlm	27389:37392:11421:359
j	38323:56868:354:599 2683:44424:487:1544 38323:55894:354:599 2772:55969:399:494
van	12863:44784:3903:824
dyck	17675:44724:4967:839
&	23508:44724:1485:839
co.	25903:44709:2772:824
ii	37990:44019:754:1649
|	2705:45968:377:524 38145:45849:487:599 38256:50691:399:824 2772:56868:377:584
incorporated	12863:45953:15723:404
1	2727:49042:399:1169
printers	16788:49342:7873:629
i	38256:49087:399:1004
of	15990:50901:1108:419
this	17409:50901:1929:419
publication	19671:50871:5832:449
945	17298:55924:1308:434
grand	18895:55894:2217:449
avenue	21423:55894:2772:419
new	17298:56868:1596:434
haven,	19205:56868:2506:494
conn.	22066:56853:2084:434
liiiiiiiiiiiiiiiiiiiiiiiiiii	2572:63660:3681:584
iifiiimi	6830:63825:1375:419
mm	8804:63915:532:329
iiiniiiiiiiiiii	9913:63915:2661:464
urn	13861:63900:465:344
iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiniiiiiißtiiiiiiii	15125:63810:7362:434
iiihiiii	23153:63870:887:329
in	24927:63870:266:329
iiiii^lilßlimßifllllllllllllllllllllllllilllllllllllllll^^mm	25748:63750:13195:479
tonight	55133:12849:2084:434
—	58105:15322:665:74 57551:16087:687:59 56974:13823:665:44 57484:13074:709:59
skating	59103:15128:2040:434 58482:12864:2062:434
tuesday	54446:13598:2217:434
pro	57972:13613:887:344 58571:15892:909:344
hockey	59813:15892:2018:434 59214:13613:1995:419
wed.,	52893:14333:1508:419
thur.,	54690:14333:1641:434
fri.,	56641:14348:1086:419
sat.—auto	58038:14348:3016:359
show	61365:14363:1419:359
sunday	53869:15877:2040:419 54557:15113:1995:434
aft.	56885:15113:887:359
eve.	56198:15997:1042:224
for	40984:17841:1663:854 53381:17946:1685:839 46018:59297:909:269
the	54778:53435:798:344 41538:30870:820:284 42958:17856:1463:869 53980:43854:997:269 41716:60152:3504:869 47260:59282:820:299
prom	44776:17871:2572:869
to	43889:63405:465:224 47659:18051:931:704 53470:63405:487:224 60145:56823:487:209 52893:21605:598:254 43734:56838:465:209
hire	48946:17901:2040:884
and	55377:32610:798:224 40518:30151:931:299 56641:26267:953:284 55776:54215:931:329 55621:34844:820:239 42847:45339:1840:419 55466:33884:931:284 50077:19041:1286:329 43601:26732:1241:419 55976:61516:1286:419 51319:17946:1729:839
sale	55399:17946:1951:869
jrl	60256:17736:1995:1289
new	43712:18981:1375:359 57506:52236:1973:434
dress	45486:19491:1995:344 45464:18996:2018:374
suits	47881:19026:1796:344
tuxedos	51784:19041:2949:359
&gt;s&	58770:18981:1375:524
c^i.	60434:18756:2062:614
silk	41583:19461:1397:329
hats,	43335:19476:1796:404
shirts,	47859:19506:2395:419
gloves,	50653:19521:2616:419
ties,	53647:19536:1485:419
etc.	55510:19551:1264:344
p/l&lbfc	58992:19371:4568:794
waldorf	42071:20135:4213:629
clothing	46905:20165:4435:779
co,	51984:20195:1907:749
inc.	54512:20210:1818:629
149	42004:21020:909:254
temple	43268:21020:2373:269
street,	45996:21020:2417:329
opp.	48813:21035:1241:329
olympia	40540:23509:9691:1154 50454:21050:2772:284
theatre	53603:21080:2883:269 55111:50182:5877:569
foremost	42891:21500:3149:329
formal	46550:21500:2262:344
outfitters	49300:21515:3038:344
men.	54024:21680:1552:194
mtr^	60012:21395:1862:644
ffij£s!mßi	52561:23359:10179:1964
-—	49722:25818:665:29
now	55688:40466:1485:269 43645:39611:1463:344 40496:26013:2106:449 55732:25698:1175:284
playing	45464:39626:2750:359 57506:40481:2683:269 57196:25698:1973:359
with	53115:53450:1241:329 56996:34559:997:224 40474:29431:1131:344 46395:61516:1574:434 42958:26043:1530:419
singing,	44843:26058:2860:509
see	55222:26252:1042:299
hear	57972:26282:1685:284
talking	45308:43060:3858:449 40474:26687:2727:524
sound	45220:26732:2217:419
""»«	53048:26807:1729:224
b,	55111:26822:443:209
°s.	55665:26897:576:149
created	56597:26822:1929:239
100%	42736:43045:2106:524 58926:26837:1175:239
talkie	60456:26837:1397:224
.......	40895:27542:2639:134
monte	55377:27212:2195:359
blue	54290:34844:975:224 57950:27227:1596:344
anne	40496:27557:3038:494
nichols	43978:27572:4790:524
"abie's	40496:28397:3770:659
irish	44665:28426:2284:629
rose"	47327:28456:3082:629
"conquest"	53603:28067:7762:794
s\uic	41028:28741:2506:299
s&gt;	43845:28741:421:299
iribn	44665:28741:2284:314
ivose	47327:28741:2528:344
wi[h	52960:28951:1131:269
h	54446:28966:399:254
b	55355:28966:332:254
warner&gt;	56198:28966:2173:329
lois	58726:28966:1064:284
wiuon	60123:28981:1818:284
buddy	42004:29446:1707:434
rogers	44111:29476:1840:419
wh„	52782:29311:1264:239
is	54401:29311:354:239
women's	55133:29326:2062:224
desire	57551:29341:1419:224
in	59303:29356:421:209 43357:32535:465:164 41516:40166:1197:629
conquest	60034:29356:2129:269
,	41294:30106:133:119 46085:35008:155:89 54956:32700:110:74
on	40496:30870:754:269 56131:33479:709:224 55444:29911:687:224
vitaphone	56419:29911:3104:239
nancy	41871:30151:1707:389
carroll	44000:30151:1840:329
jay	52649:30301:1131:284
velie—broadway	54157:30301:6143:314
star	60655:30346:1596:284
stage	42935:45908:2860:434 57151:33494:1685:224 42625:30885:1419:344
ujj"	54867:30705:1552:674
j^^'akk.	56641:30705:3415:674
ken	40474:31425:2594:644
whitmer	43667:31455:5899:659
an	40496:32520:576:89
j	41161:32400:243:134
r_„j	41738:32415:1286:194
■	47061:32250:4014:359 40540:34963:110:134
noted	55111:32250:1530:284
comedians	56952:32265:2883:269
ana	40496:32505:931:179
nana	41738:32505:1308:194
red	52649:32610:842:209
spik(	53825:32610:1131:254
his	56508:32610:754:239
folhes	57551:32610:1530:254
entertamer	59391:32640:2683:224
.	62097:32730:199:134 45619:35053:110:44 45286:34484:110:59
a	44998:45354:665:404 40518:32969:399:269
publix	41294:32984:1685:284
revue	43357:32999:1596:284 59768:33914:2040:269
colored	54446:32909:1729:224
dance	56486:32924:1419:224
orchestra	58216:32924:2284:239
"vartetiesfiftctfo"	40540:33524:7207:404
yotlctiea	41139:33779:2949:209
or	56286:34334:421:149 44466:33779:709:209
spoor	53115:33869:2040:284
parsons	56686:33899:2794:284
t-k	40518:34379:487:164
late	53381:34244:1020:209
stars	54734:34259:1197:209
"no,	57063:34274:975:239
no,	58438:34274:709:239
nanette"	59524:34274:2040:239
doors	40518:34454:1929:284
open	42847:34529:1596:299
at	44821:34484:665:284 51008:58698:487:209 43601:35053:487:209
noon.	45841:34559:1796:224
,„	40895:35083:487:59
4	41427:35023:177:119
i	50365:51786:332:284 60811:38037:643:569 54557:63990:288:224 42204:34978:110:104 53980:63990:288:224
.■	44776:34993:620:104
:	47061:34919:110:179
white	56819:34844:1352:239
ensemble	58526:34859:2195:239
last	40540:35038:1064:209
show	46173:45923:2661:449 41960:35038:1308:224
night	44421:35038:1352:314
begins	46129:35038:1641:314
9:45	40540:35458:1131:269
p.	42026:35458:487:269
m.	42869:35473:620:269
movietone	53115:35428:2350:224 42625:43989:3770:374
news	55776:35428:1175:239
—	49677:51981:332:44 45486:42460:687:44 57240:35563:554:29
pit	58061:35443:687:224
entertainers	59036:35443:2860:239
■hhsbbbe	40607:36598:10778:869
2bebi^b	52161:36658:10711:854
fox-poli	41627:37737:8627:719
1	55111:37872:620:569
upi	56907:37722:3260:884
theater	43889:38742:4125:449
ff^^^f^rl	53226:38457:8183:1154
faf	53226:39566:1330:479
im&	55222:39401:2239:644
abjtrh	58061:39326:4568:749
old	43357:40181:2483:629
arizona"	44577:41051:6298:644
janet	54801:41051:2727:434
ganor	58016:41051:3149:419
•	45796:41635:177:494
k	46151:41905:266:224
*	57706:41635:465:284
edmund	41272:42280:2173:269
lowe	43778:42295:1397:269
warner	46484:42295:2018:299
baxter	48813:42310:1729:284
george	51762:55714:3592:419 54268:42025:3592:434
o'brien	58282:42010:3393:434
dorothy	43601:42685:2195:329
burgess	46173:42685:2018:344
'	60833:43899:133:209 57684:42625:133:254
n	57883:42715:288:164
"sunrise"	54845:42970:6187:644
fox	54046:44709:1264:284 40917:43974:1241:359
vaudeville	46794:44019:4058:359
m	55355:43854:465:269
°o	55865:43959:731:554
f	56663:44229:155:284
all	57063:44214:798:299 56065:46223:1219:359
tim"'.	58105:43899:1574:614
pic	59968:43839:776:284
ure	61010:43959:842:149
robt.	43135:44469:1862:359
benchley	45375:44469:3348:374
pictorial~review	55710:44619:6121:374
great	45952:45339:3038:434
charlie	54313:45279:3792:419
chase	58770:45264:2838:434
«	55754:46223:310:164
p	57684:46223:354:344
arts	58083:46208:1663:374
»	59790:46208:310:164
=	52006:47183:887:119
sam	44444:47948:2572:464
s.	47748:47993:1108:374
„	60168:48307:332:224
9	42935:50002:443:344
&gt;■■	44067:50002:842:329
&gt;*	45708:50002:842:314
&gt;■—	49921:50047:1929:224
tonight,	41073:51096:3016:434
tuesday	44444:51096:2949:359
&	47748:51096:443:374
wednesday.	48546:51111:4102:359
popular	55976:57783:3016:359 55732:51111:2993:374 51829:58638:2106:329
mat.	50853:63360:1131:269 59369:57783:1485:344 59125:51111:1485:359 57595:56779:1131:254
wed.	60988:51126:1574:359
3chwas	41228:51846:1641:209
u.	43224:51831:332:209
manoec	43778:51786:2018:284
brind	46284:51816:1153:254
gh&f	41516:52146:3038:869
4&&s&	44976:52206:4635:809
dir£	51030:52236:1995:419
ct	53071:52236:1086:434
from	54579:52236:2483:419
york.	59901:52236:2661:419
se!f	56042:53435:1020:344
-	57107:53645:155:44
same	57329:53450:1397:329
cast	59192:53435:1108:344
&gt;	60301:53435:155:404
lb	45597:54095:1042:524
wj	46839:54380:554:239
ht'wb	47970:54095:2195:524
chorus	53603:54215:1840:329
production	57063:54215:2949:329
olsen's	55710:55714:3393:419
band	59436:55699:2395:434
eves.	41117:63390:1308:269 40984:56794:1330:269
.50	52339:63360:798:269 59059:56779:820:254 42758:63390:798:254 42647:56794:798:269
$3.00	44532:56779:1508:329
$2.50	60988:56764:1463:314
thursday,	41095:57783:3614:419
friday,	45109:57783:2506:419
saturday.	47992:57783:3570:359
sat.	61232:57783:1330:344
first	47792:58638:1197:269
time	49345:58638:1330:284
prices	54246:58638:1596:269
thrilling,	48436:59297:2483:344
