class,	34501:39776:1418:372
was	37676:39880:990:208
beaten	26957:40282:1711:312
on	28916:40386:653:208
points	29839:40282:1576:386
by	31686:40282:630:386
h.	32587:40282:675:312
mitchell,	34276:40267:2409:401
title.	28984:40803:1193:312
now	30537:41428:1103:208
attending	32024:41338:2522:357
oxford	34974:41323:2049:327
uni	37429:41338:945:312
versity.	26957:41829:1981:386
