$50.00.	43456:45853:1173:182
call	43333:47362:679:182 44795:45840:700:182
9-4	45619:45827:514:182
6	46236:45827:164:182
0000.	46566:45814:844:182
h	52559:45749:226:169
4	52992:45749:164:169
used	43333:46478:906:195 45351:47076:885:182
double-singleand-queen	44589:46491:4778:221
size	49676:46530:720:182
boxsprings	50726:46543:2141:234
mattresses-	43312:46777:2574:195
frames-chairs-rvgs-sofas-etc.	46010:46790:6981:247
kasowitz	43333:47063:1709:195
furniture,	46566:47089:1935:195
895	48790:47102:556:169
whalley	49614:47115:1544:208
avenue.	51427:47115:1524:208
first	44156:47362:782:182
389-2514,	45063:47362:1565:195
934-2511.	46751:47388:1585:169
c-97	52209:47414:782:195
anderson	43394:49157:2389:182
street	46072:49144:1709:195
writing	48049:49144:1935:195
workshops.	50253:49144:2800:195
poetry	43456:49443:1256:221
and	45104:49430:679:195
fiction;	46175:49430:1421:195
small	48008:49443:1050:182
groups.	49470:49482:1421:169
mondays	51303:49443:1771:208
5:15-7:15	43374:49730:1668:182
p.m.	45289:49769:823:182 51159:49769:823:182
or	46360:49769:391:143
thursdays	46999:49717:2018:221
7:30-9:30	49264:49717:1647:195
new	52250:49743:803:169
series	43394:50016:1091:182
starts	44630:50029:1091:169
1/21.	45845:50016:823:182
6240332.	46793:50016:1585:182
c-101	52106:50016:906:182
african	43518:50718:1956:195
drumming	45907:50705:2471:182
workshop.	48790:50705:1997:208
all	51200:50692:494:169
levels	52106:50692:1070:169
welcome.	43497:51004:1791:195
instruments	45722:50991:2286:182
provided	48358:50978:1647:221
by	50376:50978:432:208
instructor.	51179:50978:1956:169
call:	43538:51304:865:182
richard	44609:51278:1503:195
hill	46257:51278:617:182
787:4028.	47040:51278:1544:182
clo3	52230:51265:947:195
ycc	56328:43239:1338:286
agenda	57935:43226:2100:377
1.	53651:43902:432:286
officer's	54351:43876:2430:312
reports	57049:43863:2141:351
2.	53610:44409:453:286
election	54372:44396:2203:299
procedures	56864:44370:3089:299
3.	53589:44917:494:299
strike	54372:44904:1585:312
letter	56246:44891:1647:286
4.	53610:45437:473:299
new	54392:45437:1173:286
projects	55834:45398:2265:377
5.	53610:45957:494:299
old	54372:45931:1009:325
business	55607:45918:2368:312
me	53795:46608:2265:533
t	62363:46972:247:338
hatstein	53795:47700:5457:585
s*	59644:47492:1400:637
1	61065:47466:247:351
orchestra	53795:48312:6137:572
directed	53795:49222:5334:585
by	59376:49235:1565:546
ivanl	53795:49899:3418:546
übbard	57708:49886:4839:533
office	57791:50783:1730:325
288-4647	59933:50783:2636:338
or	58862:51382:638:286
265-0238	59953:51343:2677:325
pizza,	44424:52474:3892:806
pasta,	48934:52461:3995:767
salad,	51406:53541:3974:832
calzone	56019:53463:5272:780
-j	50129:58861:1421:793
v	51550:58965:926:455
)	52477:58744:556:897
good,	53301:58822:3006:624
hot,	56905:58835:1853:624
filling	59170:58848:3151:702
food	53054:59655:2595:650
-	55669:60097:164:104
we	54578:60513:1482:520
deliver!	56411:60513:4098:559
sun.-thurs.,	53218:61346:6281:650
11-12	60118:61411:2656:546
fri.-sat.,	53136:62178:4551:637
11-12:30	58285:62217:4283:585
777-2059	53260:63050:4366:533
■	59212:63921:185:78 59953:63908:82:91
yale	1935:2276:6322:1626
prepares	9062:2705:11760:1339
'war	22366:2354:6487:1365
requiem'	29472:2354:12995:1704
heath	2450:4422:5148:884
announces	8217:4643:8794:663
plans	17588:4435:4366:1027
for	2450:5736:2492:845
britten's	5396:5736:6796:884
masterpiece	12728:5736:9267:1040
by	2347:7024:679:325
david	3254:7037:1894:273
pogue	5375:7076:2059:247
fenno	2862:7440:1627:299
heath,	4695:7466:1668:286
director	6590:7479:2080:299
of	6425:16065:473:286 6611:9144:473:273 5787:18666:494:286 10668:19095:473:286 11245:12578:494:273 8876:7505:494:273 9123:15622:494:273
the	5313:10419:782:273 10936:16923:762:273 9721:17795:762:286 10977:10016:782:273 6714:19095:762:286 8897:10874:782:260 10895:18224:803:273 9329:17365:782:273 5766:9990:782:273 7455:16065:926:273 4572:13021:967:273 2347:10835:762:273 8258:21255:803:286 2842:13866:967:286 10915:19954:762:286 9762:15609:762:286 9556:7518:782:273 5849:15635:782:286
yale	3398:10848:1194:273 10606:9157:1173:273 10544:7505:1173:286
glee	2347:7804:1173:286
club,	3748:10406:1318:351 4057:7817:1318:351
yesterday	5910:7843:2574:364
announced	9020:7869:2739:286
plans	2347:8234:1359:338
to	3892:8273:453:260 11245:16507:453:260
perform	3439:9977:2121:351 4510:8273:2121:338
benjamin	6837:8286:2492:351
