short	10817:59390:1256:279
talk,	6373:62653:1077:338 12366:59390:1077:338
emphasizing	1773:59845:3119:352
importance	6531:59845:2782:352
second	11872:59860:1638:279 1795:61271:1638:279
third	3029:60316:1234:294
lines	4600:60316:1144:294
necessity	8438:60316:2221:352
having	11827:60316:1728:352
fast,	2648:60786:1009:338
hard-checking	4264:60786:3613:338
hard-charging	9920:60786:3613:338
line.	3815:61257:1009:279
stick-work	8304:61257:2715:279
must	11401:61301:1189:235
be	12972:61257:561:279
polished	1660:61727:2064:352
up	4017:61815:605:264
good	7451:61727:1189:352
condition	8954:61712:2311:294
is	11580:61712:381:294
vital	12276:61712:1122:294
were	1817:62286:1211:205
also	3344:62183:965:294
stressed.	4623:62197:2109:279
following	2379:62653:2558:338
line	7787:62653:897:279
against	10638:62653:1817:338
was	3388:63212:965:191
practised	4735:63109:2244:352
approximately	8506:63109:3635:352
half	12523:63109:965:279
an	1795:63668:583:191
hour.	2648:63579:1279:279
nelson.	4466:63565:1885:294
jennison,	8146:63565:2311:338
19305,	10795:63565:1548:338
bent,	1728:64050:1279:323
19305;	3501:64035:1683:323
west,	5633:64020:1481:338
1930,	7608:64020:1167:338
cookman,	9246:64035:2468:338
and	23677:21389:875:279 14386:2072:875:279 19346:12245:852:264 24171:9467:875:264 18381:3498:875:294 14363:13612:875:264 18470:2572:897:279
schley,	16002:2087:1795:338
1931;	18560:2102:1324:323
breckenridge,	20648:2102:3523:338
1931,	24934:2102:1211:338
thomas,	14386:2543:2154:352
1930,	16944:2557:1167:352
ellsworth,	19705:2572:2648:338
1929,	22735:2572:1189:338
worked	24283:2572:1862:279
together	14386:3013:2087:338
as	16877:3116:493:205 16451:14729:471:191 22443:4615:493:176
lines.	17797:3028:1256:294
later	19840:3028:1369:294
a	20401:21448:269:191 21613:3131:269:191 19615:21903:269:191 19638:3586:269:191 16226:3572:269:191
scrimmage	16226:4513:2715:352 22286:3028:2715:352
between	14386:3513:1481:249 25383:3028:516:294
blue	16855:3484:1144:294
white	20266:3498:1593:294
team	22219:3557:1189:235 21478:19037:1458:279
was	23027:22388:942:191 23790:3586:942:205 21231:4615:920:191
held	25114:3498:1032:294 15867:19948:1032:279
in	18381:19478:448:294 24171:10378:403:279 18830:21815:448:279 21298:19963:403:279 17348:8511:426:264 14408:3925:426:279
which	15126:3939:1481:294 17438:20419:1503:279 18448:22286:1503:279
the	18313:10834:740:279 16899:3969:740:279 22645:18581:740:279 20266:22300:740:279 21455:9452:740:279 19840:20889:987:279 21613:20448:763:264 25293:20448:740:294 16338:12230:718:264 18515:13156:740:294 25361:9922:763:294 21298:11304:763:294 14924:14156:987:294 14947:4483:987:294 19189:19492:740:294
blues	14969:5042:1369:308 17977:3969:1346:279
scored	19638:3969:1571:279
three	21500:3969:1256:279
times.	23049:3969:1436:279
line-up	16361:14171:1728:352 19211:4513:1728:352
follows:	23229:4527:2042:279 17236:14612:2064:308
whites	23745:5071:1795:294
bent,	14386:5600:1279:338
r.w.	16091:5718:897:191 16495:16699:897:176
r.w.,	22129:5733:1054:235 23004:16714:1054:235
ellsworth	23632:5630:2468:279
jennison,	14363:6071:2311:352
l.w.	17012:6086:852:294 19929:15670:852:294
l.w.,	22914:15685:987:338 22757:6100:987:338
thomas	24104:6100:2019:279
nelson,	14386:6541:1862:338
c.	16047:16229:359:176 16563:6644:359:191
c,	21949:6659:493:235 22892:16244:493:235
breckenridge	22780:6571:3344:338
hickok,	14386:6997:1975:323
r.d.	16540:17523:807:294 16742:7026:763:264
r.d.,	23520:7041:920:323 23071:17567:942:338
rudd	24800:7026:1324:294
austen,	14386:7453:1885:352
l.d.,	16675:7482:830:338 23610:17096:875:338 23453:7497:852:338
clark	24710:7497:1413:279
sizer,	14386:7923:1436:352
g.	16361:18096:403:235 16181:8026:426:264
g.,	22892:18111:538:235 23588:8055:583:249
farrel	24530:7952:1593:308
interest	14992:8496:1907:279
tomorrow	19705:14230:2491:249 14880:18537:2715:294 18224:8555:2468:235
night's	22667:14200:1660:338 21164:8511:1660:338
game	24800:14288:1301:249 17259:12789:1301:249 20199:21903:1346:249 23273:8614:1301:249
with	25024:8511:1099:294 21904:21830:1077:279
dartmouth	22735:15215:2782:294 14386:8952:2760:294
is	17640:8967:336:279
high	16720:19478:1279:338 18470:8982:1077:338
among	19997:9070:1683:249
yale	14902:15170:1167:308 22129:8982:1144:279 14318:18993:1144:294
men,	23745:9084:1122:235
not	15710:11334:785:235 25338:9040:785:235
only	14386:9408:987:338
here	15755:9423:1077:294
but	17169:9437:807:279
throughout	18291:9437:2805:352
state,	22555:9481:1256:308
requests	25406:9555:493:176 14386:9937:1481:279
for	25293:19978:740:294 14363:13142:740:279 16249:9893:718:279 18538:14186:718:279 17079:10834:897:279
tickets	18605:11760:1593:294 17303:9893:1615:294
are	22959:12804:763:191 19256:9996:785:191
being	20378:9908:1324:352 23184:13171:1346:352
received	22061:9908:2042:294
by	19570:21345:561:352 24440:9908:583:352
athletic	22331:11304:2019:294 14386:10349:1997:279
association	16742:10363:2895:279
from	19952:10378:1189:279
all	20490:12701:763:279 21433:10378:583:279
points	22353:10378:1458:338
connecticut.	14363:10804:2064:308 24912:10378:920:294
convenience	19368:10834:2984:294
of	17663:22271:471:279 22690:10848:471:264 24418:20448:471:279
those	23453:10863:1301:264
who	25069:10863:1054:279
may	14363:11363:1032:249
be	15598:14627:516:294 20692:20433:538:279 23071:12245:516:279 16765:11290:538:294
