1931	12311:12563:888:219 11044:12841:911:219 11222:12285:888:219 11511:12008:888:219
a.	1844:12256:488:219
lambert,	2711:12256:1911:262
ferris,	9400:12285:1422:262
macdonald,	2844:12534:2444:277
heinz,	9266:12548:1400:277
manuel,	3688:12826:1711:262
l.	8666:12841:422:219
peltz,	9466:12841:1200:262
alfred	2622:13556:1377:233
whitney	4422:13571:1844:262
griswold,	6644:13571:2022:262
1929,	9111:13586:1066:248 9333:13863:1044:262
columnist	10578:13571:2155:248
ralph	2355:13834:1244:277
delahaye	4066:13834:1955:277
paine	6489:13849:1200:219
inquisitor	10800:13863:2200:262
kastendieck,	5422:14141:2711:248
1927,	8577:14141:1022:233
lobbyist	10000:14141:1822:262
john	4666:14404:1000:262
evarts,	6000:14404:1511:277
music	7844:14418:1288:204
critic	9444:14418:1222:219
member	4755:15061:1733:219
intercollegiate	7533:15061:3088:277
newspaper	5089:15339:2333:262
association	7844:15353:2422:219
news	12289:17121:1222:233 3577:16069:1222:233
does	5222:16084:888:219
not	6511:16128:666:175
necessarily	7600:16098:2311:262
endorse	10333:16098:1600:219
sentiments	1844:16391:1244:189 12355:16098:955:219
expressed	3444:16361:2066:277
in	10666:17121:377:219 5889:16361:377:219
communications,	6622:16376:3533:219
no	2400:17106:577:204
communications	3266:17106:3400:219
will	9111:17676:755:219 6977:17106:755:219
be	10155:17691:444:204 8066:17121:422:204
printed	8822:17121:1488:248
unless	1866:17369:1311:233
writers'	4422:17384:1622:219
names	6377:17457:1311:146
are	7977:17457:688:146
left	8955:17384:711:219
with	9978:17399:933:219
news.	4577:17662:1333:219
anonymity	6466:17676:2377:248
preserved	10866:17691:2022:248
if	13200:17691:311:219
se	1844:18012:422:146
desired.	2533:17924:1644:248
for	6644:18713:911:262
this	7911:18713:1111:277
issue:	9400:18728:1511:277
sherman,	6511:19166:2377:350
heinz	9289:19181:1511:277
saturday,	3977:20174:2644:409
1928	10178:20189:1266:350
enthusiasm	3311:21504:4044:292
at	7733:21518:866:262
harvard	9044:21518:3155:277
the	7089:22453:866:321 6200:54651:911:336 2955:44469:888:336 1933:33234:866:336 6866:47274:866:321 2755:42131:888:336 4400:34622:888:336 4577:37047:866:321 2000:51452:1177:321 6333:26631:888:321 1977:26631:866:321 11289:46806:911:321 2000:49596:866:321 5066:53278:888:321 5044:41678:888:321 9311:33234:866:321 6377:29977:866:321 9978:45871:866:321 9578:35660:911:321 2644:22453:1155:321 8466:45404:911:321 12800:48194:888:321 3622:28589:888:321 3288:51905:866:321 5733:36112:888:321 12822:54227:866:336 10133:34637:888:321 4977:35104:866:321 6400:38435:888:321 5444:44001:866:336 9755:44936:911:336 12466:41240:1133:321 11533:22906:866:336 8577:51437:911:336
report	11911:51495:1777:379 4088:22497:1777:365
of	8911:36112:577:321 10711:30444:600:321 4000:38903:577:336 9266:34637:600:321 5377:26631:600:336 8822:53278:622:336 10178:22453:600:321 4044:48661:600:336 7711:51437:622:336 1955:44469:600:336 6422:49582:600:336 8333:33234:600:336 6155:22453:600:321 4066:35090:600:336 4422:46806:600:336 11889:50531:622:321 5844:47274:600:321
deans	8266:22453:1622:321
harvard	2733:27186:2511:336 11133:22453:2488:321 11111:35645:2488:336 4777:51890:2511:336
university	9089:49582:2955:423 1955:22906:3133:438
on	9555:52474:711:233 12978:32884:711:219 2022:52021:666:204 4244:43987:888:350 5511:23023:688:219
thursday	6666:22906:2866:438
that	11266:25696:1111:321 12466:36580:1133:336 7844:54213:1133:321 3511:41678:1133:321 12578:30926:1111:321 3711:36580:1133:321 3355:32767:1133:336 2000:29524:1133:321 2933:28121:1133:321 9933:22906:1133:336
recently-introduced	1933:23374:5133:423 12866:23023:533:219
"reading	7400:23374:2533:423
period"	10244:23374:2177:423
has	12733:23374:933:321
turned	1955:23841:1888:321
out	4222:23899:933:262
to	7444:25755:555:262 13111:33760:533:262 6022:40349:555:262 9800:36638:555:262 5511:23899:533:262 4689:50122:533:262 13133:49173:555:292 10066:54724:555:277 9644:48252:533:262
be	4288:29056:622:321 6422:23841:622:321
a	9711:53409:311:204 1955:24425:288:204 11044:42263:311:204 13355:48764:311:219 9644:43183:288:233 7422:27289:288:219 3577:29626:288:219 4400:31014:288:219 4977:39005:288:219 7422:23958:288:204 1933:34272:288:204 6000:38085:311:204 8533:28238:311:204 3755:52474:288:219
distinct	8089:23841:2133:321
success,	10600:23958:2266:233
is	13244:23826:422:336 6977:49129:444:336 11244:47726:444:321 2844:25696:422:321 10578:39823:422:336
rather	2600:24309:1800:321
significant	4755:24309:2977:409
mile-stone	8089:24309:3022:321
in	13133:33234:511:336 3066:39823:511:306 1933:42131:511:321 11489:24309:511:321 10489:46806:511:306 12200:48661:644:321
american	12355:24309:888:321 1955:24776:1755:321
education.	4533:24776:2933:321
predictions	8666:24776:3333:321
are	6555:41328:888:219 6866:52942:888:204 12778:24878:911:233
hazardous	1955:25229:2977:336
at	6066:47785:555:277 5333:25287:533:277 4889:36185:511:248
this	6266:25229:1066:336 5355:40758:1022:321
immature	7755:25229:2822:336
date,	10978:25243:1377:379
but	12800:29056:888:336 12755:25229:933:336 4266:33687:1044:336
it	4222:37968:400:321 5622:27654:377:321 6155:49129:400:321 2000:25696:355:321 2022:30912:488:336 5755:33687:377:336
not	1911:39429:888:262 3755:45447:911:292 9244:37091:911:292 3733:25755:911:262 1933:43125:933:277
heresy	5111:25696:1888:423
suggest	8489:25755:2133:365
its	13022:25696:666:336 8311:50049:644:321 4600:50984:644:321 9444:27654:644:336
eventual	1955:26164:2422:321
effects	4689:26164:1888:321
will	6866:26164:1044:321
extend	8200:26164:1955:321
far	10489:26164:866:321 8311:48194:844:321
beyond	11644:26164:2044:423
fences	3244:26631:1777:321
yard.	7577:26631:1644:336
took	5711:27201:1266:321
definite	8933:40291:2133:336 8177:27186:2133:336
step	10955:27245:1133:365
last	12711:27186:977:336
year	1977:27771:1288:321
when	3666:27639:1533:350
amended	6400:27669:2600:321
curriculum	10511:27654:3177:336
so	2644:35645:711:350 2000:28238:577:204
for	4489:28107:866:336 1955:39823:844:321 9889:42146:866:321 5689:31832:888:321
two	5733:28180:1044:262
and	6000:55118:1022:321 8622:45871:1044:321 10889:29991:1000:306 4866:51452:1022:321 7133:28121:1044:336 4777:54666:1044:321 4955:48194:1044:321 11178:31379:1044:321 6377:43081:1066:336 4222:31847:1044:321
half	9200:28121:1155:321
weeks	10755:28121:1733:321
before	2044:28589:1177:321 12844:28121:577:321
mid-year	4911:28589:2644:409
examinations	9778:45404:3888:336 7955:28589:3866:321
there	12244:28589:1444:321
should	11822:51905:1866:336 11844:29524:1844:321 2022:29056:1866:321
no	5289:29159:688:219
assigned	6355:29056:2466:409
recitations,	9200:29056:3200:379
general	4288:29509:2111:423
reading	6911:29524:2177:409
period	3933:42131:1844:438 9555:29509:1822:438
prevail	2000:29977:1977:423
under	4355:29977:1666:321
occasional	7577:29977:2933:321
more	4266:44586:1444:219 9111:51086:1466:219 2600:34272:1466:219 12266:30094:1422:219
or	13089:50166:600:204 2000:30561:600:204
less	3088:30444:1022:321 7177:34155:1022:336
informal	4600:30444:2533:321
guidance	7644:30444:2577:409
tutors.	11800:30503:1888:262
was	6533:33819:1066:204 2933:31029:1066:219 10022:42730:1066:219
revolutionary	5111:30912:3955:409
step,	9466:30970:1311:350
one	11178:31014:1022:233
aroused	1977:31394:2266:306
nation-wide	4533:31365:3466:336
comment	8266:31438:2644:262
prophecy,	1977:31847:1822:423 12511:31481:888:321
a.	6977:31949:511:262
while.,	7666:31832:1777:379
seemed	9644:31847:2088:321
to.	12089:31890:622:292
ds*	12911:31832:777:350
fomenting	2044:32300:2977:409
almost	5511:32300:1888:321
as	13111:32416:577:204 5022:38085:577:204 7889:32402:577:219 1977:47858:577:204
much	8955:32300:1577:321
furor	11089:32300:1533:321
did	1955:32782:911:321
other	4955:32767:1533:336 6622:44001:1511:336
british	6977:32752:2044:350
institution	9489:32767:3022:336
self-same	3200:33234:2755:321
banks	6311:33234:1666:321
charles	10555:33234:2200:336
1776.	2000:33687:1466:336
harvard's	5244:48661:2977:336 8066:33687:2955:336
path	11444:33702:1266:409
elective,	4466:34155:2333:379
restricted	8600:34155:2755:336
education,	1911:34622:1266:394 11778:34169:1555:321
by	4600:46324:666:423 13022:55148:666:409 3466:34622:688:423
importation	5555:34622:3422:409
salutary	11311:34637:2311:409
liberty	1911:35090:1888:438
english	6155:35090:2244:423
theory.	8711:35090:2000:438
enthusiastic	3800:35645:3422:336
were	1955:45973:1400:219 1933:45506:1422:219 7644:35762:1400:219 12222:39005:1377:233 6844:36682:1377:219
faculties	1933:36112:2622:321
result	6955:36127:1555:306
their	8177:43548:1355:321 1977:55571:1377:336 3844:39823:1355:321 9822:36112:1377:321 5622:46324:1355:336
experiment	7889:51905:3311:423 11533:36112:1777:423 1911:36638:1444:262
they	5200:36580:1244:423 9422:54213:1244:423 7311:55118:1244:423 10355:38903:1511:409
led	8600:36580:844:321
state	10778:36638:1311:262
"even	1911:37047:1644:321
if	3844:37047:444:321
grades	5733:37047:1911:409
had	7933:37047:1022:321
shown	10444:37047:1844:336
any	12600:37150:1000:306 7622:49699:1044:321
improvement,	1911:37500:4000:423
we	6533:37617:777:219
could	7889:37515:1555:321
nevertheless	10044:37515:3555:321
regard	1933:37968:1866:423
success."	6733:37968:2555:321
strong	10111:37968:2000:423
language,	12489:37982:844:321 1911:38537:1844:306
from	4400:38421:1377:336 3422:53278:1400:321 3644:40758:1422:321
proverbially	7889:38435:3533:423
musty	11822:38508:1777:350
sheets	1911:38903:1733:321
dean's	5644:38903:1800:321
office!	7822:38903:2022:409
irrationally	3422:39356:3288:438
exuberant,	7266:39370:3111:379
however,	10955:39370:2622:394
own	5466:39940:1200:219
