madame	1259:7684:3575:659
jeritza	5217:7669:3328:644
will	8905:7654:1979:629
sing	3575:8538:1776:644
in	5712:8523:809:644
woolsey	6836:8508:3868:644
hall	11042:8463:2046:644
star	1304:9901:1461:434
soprano	3418:9871:2991:524
of	7061:9841:742:434
metropolitan	8456:9811:4655:524
opera	2473:10545:2203:539
will	5082:10515:1574:449
give	7061:10515:1731:434
concert	9198:10500:2833:419
tonight	4025:11189:2901:509
at	7376:11249:674:359
8:15.	8478:11174:1934:419
has	2069:12343:1281:359
scored	3778:12313:2563:389
many	6791:12313:1866:344
triumphs	9063:12283:3373:374
famous	1349:13331:2114:284
viennese	3755:13316:2496:269
prima	6544:13316:1641:254
donna	8478:13286:1799:269
has	10570:13256:1012:284
been	11897:13256:1281:269
prominent	2091:13811:2878:269
figure	5464:13781:1754:344
on	7713:13870:652:179
operatic	8883:13736:2361:359
stage	11739:13721:1439:329
since	2069:14290:1439:269
first	3935:14275:1259:284
appearance	5577:14260:3305:344
in	9288:14230:494:284
america	10165:14215:2338:284
—violinist	12526:14215:674:389
to	4745:14799:494:224
assist	5599:14739:1596:269
singer.	7534:14724:1889:329
woolsey	1979:15698:2226:344
hall	4542:15683:1124:284
will	5217:22334:944:284 5982:15683:967:284 9513:35171:944:314 5599:21375:967:284 6409:18035:922:299
be	10817:35171:562:314 2248:18544:562:299 7241:15668:562:284 6499:22334:562:284 7039:21360:539:299
the	4767:26139:787:284 12481:16102:764:284 4385:34242:719:299 10052:28490:787:284 1641:33329:764:284 10795:28955:787:299 8568:31846:787:284 10885:20401:764:269 12526:19428:764:284 2383:22349:787:299 8860:17555:787:299 8298:30872:764:299 3530:19488:764:284 8096:15668:764:284 6634:18529:764:284 9805:23248:764:284 1506:26633:787:299 9130:17076:787:284 2226:35231:1012:284 1371:16177:787:284 10997:18499:764:269 8838:25150:809:299
scene	9175:15743:1304:209
of	10165:18484:494:299 3665:19023:472:284 8096:17555:494:299 12774:15653:472:254 5082:23757:494:299 12864:25120:494:284 11582:16102:472:284 10795:15653:494:269 3598:34257:494:359 2676:19503:494:284
one	1439:19593:877:194 11604:15728:854:194
most	4655:19518:1191:239 2608:16222:1236:239
important	4273:16162:2496:359
musical	7196:16117:1911:314 5937:24206:1889:299
events	9558:16162:1574:254
new	1439:16657:1169:299
haven	3103:16642:1664:299
season	5240:16717:1596:209 2721:20536:1619:209
this	1439:20446:922:314 7309:16612:899:299
evening	8681:16597:1956:359
at	10210:24236:472:239 9940:29015:494:239 11087:16627:449:239 12909:26124:472:239
8:15,	12009:16552:1259:329
when	1416:17121:1349:314 9468:24671:1326:299
mme.	2069:22828:1394:284 1484:21405:1416:284 8388:28011:1416:299 5914:39500:1394:284 7106:18993:1416:284 3148:17121:1416:284
maria	4947:17106:1574:284
jeritza,	10097:27981:1889:389 9018:18963:1866:374 6881:17091:1866:359
distinguished	10277:17046:2743:359 1416:17615:562:284
prima	2248:17600:1484:344
donna	4025:17600:1529:269
soprano	5847:17630:1956:299 7893:26199:1956:269
metropolitan	9962:17525:3305:359
opera	1574:29509:1574:344 1439:18080:1574:359
company,	3463:18065:2496:344
appear	7758:18110:1686:269
in	5959:26603:494:284 13021:32745:494:299 9198:29434:472:299 8613:22783:449:284 11694:19428:472:284 9872:18020:472:284 8928:30393:472:284 10615:33733:472:284 3575:29479:494:299
a	2991:23862:269:209 10772:18110:269:194 5240:24326:292:194 11424:22843:292:209
concert	11447:18050:1821:239
to	10007:31396:494:254 1439:18604:472:254
given	3126:18544:1371:344
under	4857:18529:1439:299 6926:25165:1416:299
auspices	7736:18499:2069:359
vale	12121:18469:1169:299
school	1484:19023:1686:329
music.	4655:19008:1664:284
who	11379:18948:1034:299
is	13156:38032:382:299 12909:18933:382:299 5734:38542:404:314
conspicuous	6229:19458:2991:359
figures	9625:19443:1709:344
metropolitan,	1484:19952:3440:374
has	12661:33239:809:299 12504:23233:832:269 5262:19952:832:284
made	6432:19937:1326:299 5285:29000:1326:284
an	8073:20027:584:194 11087:24281:562:194
especial	8995:19922:1934:344
triumph	11289:19907:2001:344
as	4655:20521:494:194 8928:27157:494:194 11739:35261:517:209
princess	5509:20431:2136:284
turandot,	8208:34213:2541:359 7983:20416:2563:329
heroine	11964:20387:1057:284 1484:20926:719:299
of.	2541:20926:562:299
puccini's	3395:20911:2271:299
posthumous	6027:20896:2991:359
opera.	9378:20956:1529:269
tonight	11267:20836:2024:359 7309:35186:1821:374
jeritza	3373:21390:1754:359 7624:39485:1776:374 3800:22813:1754:344
assisted	8073:21345:1956:314
by	10772:21330:584:359 9198:28490:607:359
john	12099:21330:1191:344
corigliana,	1484:21869:2833:359
violinist,	4700:21840:2181:344
while	7286:21825:1371:314
her	6949:29943:1012:284 6994:29000:832:269 2878:24731:832:284 9018:21825:832:299 7466:25644:1012:299
accompanist	10232:21795:3081:359
on	1461:22454:607:209
piano	3508:22334:1349:359
emil	7421:22304:1236:284
polak.	9040:22304:1596:284
was	10525:30003:944:194 10929:31906:967:209 2833:28146:967:209 5869:22903:944:194 12391:24731:967:209
born	7129:22798:1169:284
brunn,	9400:22768:1709:344
small	12009:22738:1304:299
austrian	1506:23293:2248:299
town,	4228:23337:1371:284
which	6094:23263:1529:299
since	8096:23248:1236:314 7916:33269:1349:314
war	11042:23322:989:194 9648:31921:989:194
been	2608:28535:1124:299 1484:23787:1124:284
part	3643:23817:1057:314
czecho-slovakia.	5982:23727:4430:329
showing	11132:23697:2203:359
ambition	1484:24236:2226:314
for	6184:35201:742:299 4093:24236:742:299
career	8231:24296:1574:194
early	12054:24161:1259:359
age,	1484:24820:989:254
vocal	4093:24716:1349:284
study	5847:24701:1349:344
began	7579:24686:1484:359
she	3620:32834:809:284 11357:33239:809:299 11199:24656:787:329 11064:26573:809:284
sixteen	1484:25210:1821:284
years	3778:25285:1349:254
old	5644:25180:764:284
direction	10120:25135:2271:299
professor	1529:25674:2451:299
auspitzer.	4250:25659:2631:359
ability	8748:25629:1596:344
being	10615:25614:1349:359
soon	12234:25689:1146:194
recognized,	1506:26139:2856:359
young	5914:26214:1551:254
appeared	10255:26079:2271:374 4857:32804:2293:359
volkosoper	2653:26633:2946:329
vienna,	4475:29464:1979:359 6814:26588:1956:344
where	9153:26588:1529:284 1619:32834:1551:299
sang	12234:26633:1146:269
such	1529:27112:1124:299
little	3103:27097:1169:299
known	4700:27097:1709:269
operas	6859:27157:1619:269
siberia,	9895:27037:1956:344
quo	12324:27022:1057:359
vadis,	1551:27577:1574:359
and	3350:30438:877:299 3418:27577:922:299 3216:30932:922:284 5712:28520:899:284 11042:34213:877:284
kuhreigen.	4632:27547:2833:374
it	2114:28056:449:299
not	1596:31441:787:254 4070:28101:809:239
long	5150:28041:1101:344
before	6499:28041:1596:284
having	1551:28535:787:359 12256:27966:877:314
heard	4003:28535:1439:284
admired	6881:28490:2069:314
emperor	11132:28475:2271:359 9333:30872:2293:359
franz	1574:29030:1529:284
josef,	3463:29000:1439:359
debut	8186:28970:1394:299
court	11964:28940:1439:314
singing	6904:29449:1844:359
oberleitner's	10120:29419:3283:314
opera,	1551:30063:1551:269
aphrodite.	3463:29943:2743:389
success	8073:33823:1776:224 8343:30018:1799:194
immediate,	1574:30438:1349:359 11829:29898:1281:284
offers	4632:30438:1439:284
poured	6477:30408:1754:359
from	8501:38542:1259:284 7106:36145:1259:374 10052:30393:1236:299
berlin,	11694:30363:1731:359
paris	1596:30932:1349:284
london.	4430:30902:2046:299
but	7061:30887:944:284
would	11919:30842:1506:314
permit	2721:31381:1664:374
his	4700:31381:742:299
favorite	5779:31366:2001:314
singer	8118:31351:1551:359
leave.	10840:31336:1416:299
finally,	2181:31861:1934:359
however,	4452:31861:2271:329
after	7061:31846:1214:284
over,	12211:31891:1236:269
to.	6679:32370:674:269
corns	7624:32415:1304:239
..tft..	9153:32355:922:284
new,fyork,	10345:32280:3126:389
"for	7286:32760:1034:314
ffie*	8748:32715:854:359
first	9985:32774:1057:299
time	11312:32730:1259:329
1921-22	2946:33299:1889:299
season.	5330:33389:1754:194
then	9760:33254:1101:299
sung	1641:33883:1191:269
with	3216:33778:1124:299
tremendous	4700:33763:2946:299
tosca,	11874:33733:1641:344
jewels	1641:34257:1709:314
madonna,	5375:34242:2563:329
other	12189:34198:1304:284
famous	1664:34737:1799:299
operas.	3845:34812:1776:269
program	3598:35306:2226:269
follows:	12616:35156:674:314 1664:35710:1394:284
1.	2271:36190:337:284
(a)	3350:39995:764:344 3328:36175:764:374
romance	4475:36175:2361:299
d	8613:36145:449:299
minor	9333:36145:1641:299
concerto	11244:36145:2271:284
kieniawski	10075:36594:2901:314
(b)	3328:37134:787:359
prelude	4520:37134:2001:299
bach-kreisler	9917:37074:3620:314
mr.	5599:37598:944:284
corigliano	6949:37568:2698:374
2.	2226:38092:404:299
aria:	3238:38077:1439:299
'ii	5015:38077:562:299
est	5869:38122:697:254 9153:38107:674:254
doux,	6814:38077:1394:344
il	8546:38047:292:314
bon."	10097:38047:1326:299
(he	11829:38047:1034:359
kind,	3238:38557:1236:389
he	4835:38557:562:299
good.)	6454:38542:1641:359
herodiate	10075:38527:2586:299
massenet	11199:38991:2338:299
3.	2271:40010:382:284
immer	4520:39980:1754:299
leiser	6611:39965:1371:314
wird	8321:39950:1191:314
mem	9850:39950:1214:314
schlum-	11424:39950:2136:299
mme.	16642:24326:1574:299
maria	18598:24296:2114:314
jeritza	21027:24266:2586:314
distinguished	14933:24895:3688:374
metropolitan	19408:24865:3530:359
prima	23704:24835:1641:299
donna,	14910:25405:1979:314
who	17429:25375:1146:284
will	18981:25360:967:284
sing	20510:25360:1079:329
at	21972:25390:539:239
woolsey	23051:25300:2316:344
hall	14978:25854:1101:314
tonight.	16394:25854:2114:344
alumni	1709:41522:2563:359
fund	4587:41507:1754:359
gave	6701:41493:1731:374
to	8748:41478:854:374
yale	9917:41463:1664:374
$571,000	3845:42002:2631:404
during	6859:41957:2541:374
last	9805:41957:1641:359
year	11807:41942:1754:359
9,311	1731:43005:1484:329
graduates	3733:42961:2766:299
made	6949:42946:1484:299
contributions	8860:42946:3755:284
to	13044:42975:517:224 9085:43949:539:224
fund,	2428:43440:1529:344
which	4295:43440:1776:299
since	6364:43440:1439:284
1890	8141:43440:1349:269
has	9805:43425:1012:269
added	11109:43395:1799:299
over	4093:43934:1349:284
$4,000,000	5712:43904:3103:344
yale.	9895:43889:1326:284
gifts	2338:44893:1236:314
amounting	4003:44878:2721:359
to	5824:48293:494:254 5105:55918:472:254 10052:49237:494:254 3103:46376:494:254 1709:56876:494:254 7691:45867:472:254 11672:53551:472:254 6364:54974:494:239 8163:49731:494:239 7196:44923:472:239
over	8096:44953:1124:209
half	9670:44848:989:299
a	13291:49282:292:194 11087:44953:292:194 2541:45956:292:194
million	11807:44833:1776:314
dollars	1731:45372:1731:314
and	8838:57775:899:314 11289:53985:877:299 4587:48263:877:284 3845:45372:922:299 1731:54944:877:299
total	5150:45357:1169:299
receipts	6701:45342:1979:359
of	11919:46780:494:299 6814:53970:494:299 1731:45867:494:299 8703:53491:494:314 6004:56352:517:299 5869:57296:517:314 10277:51094:517:314 10345:54929:517:299 9895:50630:517:284 9063:45342:494:299 9220:58269:494:284 8568:56831:494:284
three-quarters	9940:45342:3643:359
million,	3126:45852:1911:344
testified	5352:45837:2001:299
the	2586:46810:809:299 6477:55393:787:314 9333:56831:787:299 8478:45822:787:299 4070:58269:1012:284 10165:57790:809:299 4835:56831:764:284 11807:48233:787:284 2586:55888:764:299 5847:49207:787:299 11177:51094:787:314 5937:52068:764:299 12796:46780:787:284 4025:50166:787:299 6566:50630:1012:299 4273:53506:787:299 2676:57311:787:299 11199:54944:764:284 9040:47754:787:299
alumni's	9580:45807:2316:314
devotion	12189:45807:1124:314 1731:46346:989:299
vale	4003:46316:1191:299
during	3935:52068:1686:359 3710:49207:1731:359 5577:46301:1709:374
1927,	7691:46286:1236:374
it	9333:46286:359:314
was	9513:53117:967:194 9108:52637:989:209 10097:46391:967:209 8276:50255:967:194
revealed	11469:46286:2114:314
