computer	18046:13624:2455:328
program,	12562:14083:1554:288 20890:13689:777:262
organizers	14567:14031:2721:341
hope	17636:16222:1207:341 17718:14044:1166:341
"allow	20235:14044:1677:275
teaching	15836:14464:2189:354
assistants	18291:14477:2557:275
not	21115:19753:777:249 14731:21919:777:262 21115:14490:777:262
cross	13217:14962:1309:210
picket	14731:14884:1554:367
lines,"	16491:14897:1677:328
bennett	13094:17968:1964:288 18516:14923:2005:275
said.	20685:14910:1186:288
scheduling	12562:15330:2803:354
forms	15590:15330:1493:288
have	17330:15356:1207:275
been	18782:15343:1166:288
sent	20194:15369:1023:262
members	16532:27615:2455:288 12562:15776:2414:275
faculty,	17309:15789:1943:341
if	20931:15789:347:275
strike	12562:16209:1473:275
occurs	14301:16288:1657:210
they	20624:21486:1268:341 16266:16222:1104:341 19887:21039:1084:354
relocate	19826:16236:2086:275
between	12562:16642:2107:288
500	14874:16669:757:262
750	16941:16682:777:262
churches,	20562:16669:1084:275 12542:17089:1289:328
movie	14322:17089:1554:275
theaters,	16347:17102:2250:328
living	20460:17102:1432:341
rooms.	12542:17601:1739:210
added	15427:17968:1534:288 18987:20593:1554:288
that	20890:20606:1023:275 17964:19727:1002:275 17350:24990:1002:275 17309:17981:1023:275 18680:21039:1023:275 14690:26736:1002:288
costs	19826:18008:1268:249
relocation	12542:18401:2598:301
last	15468:18401:900:288
semester	16695:18441:2352:262
amounted	19355:18401:2557:301
about	13217:18848:1411:288 16020:20160:1411:275
$6,500,	14792:18848:1595:341
most	16613:18861:1227:275
it	18659:18848:347:288
paid	19212:18848:1084:354
out	20480:18861:757:275
faculty's	13565:19281:2168:354
pockets.	15979:19281:2066:354
he	18066:20593:572:275 19232:19727:593:275 13074:19727:695:275
acknowledged	14035:19714:3641:354
did	20092:19714:777:288
know	12542:20147:1350:288
much	14240:20160:1411:275
local	13053:26290:1411:288 13074:22772:1391:288 15897:26736:1391:288 17800:20160:1411:275
35's	19580:20160:920:288
contract	20869:20239:797:210 12542:20619:1248:249
proposal,	14158:20593:2332:354
but	16900:20580:797:288
"the	12583:21026:1084:275
important	13851:21026:2578:354
thing	16613:21026:1309:354
is	18087:21039:409:262
actually	12542:21459:1473:354 21135:21118:531:210
joined	14424:21459:1575:354
walkout.	18005:21473:2168:288
should	12542:21893:1636:288
be	19846:24990:572:275 16061:21893:572:288
left	17166:21893:838:288
standing	18537:21906:2209:354
themselves."	12542:22339:3375:275
will	15263:26303:920:275 15365:22772:920:288
negotiate	16491:22785:2393:341
throughout	19089:22785:2803:354
next	12521:23245:1104:249
week.	13892:23218:1452:275
their	15611:23218:1411:275
major	17268:23218:1554:354
issues	19069:23231:1514:275
concern	20869:23310:797:210 12521:23730:1248:196
job	14322:23651:838:354
security,	15734:23665:2455:354
year-round	18803:23665:3089:354
employment	12521:24098:3212:354
for	15959:24098:716:288
current	16879:24137:1923:249
nine-month	18987:24111:2884:288
employees,	12521:24544:3396:341
limit	17411:24544:1452:288
on	19457:24636:634:196
subcontracting	12542:24990:2925:341 20665:24544:941:288
work	15775:24977:1289:288
can	18639:25069:900:196
done	20706:24990:1186:275
union	13769:25423:1554:288 14936:27628:1391:275
members,	15897:25423:2884:341
improvements	20972:25436:634:275 12542:25870:3028:341
pension	17432:25870:1943:341
plan.	19560:25870:1248:354
receive	16368:26303:1861:275
same	20542:27248:1350:223 19314:26382:1350:210
dental	12542:26736:654:288 20828:26303:818:288
plan	13381:26736:1104:354
has	18148:26736:859:288
negotiated	19212:26736:2680:354
probably	13892:27182:2271:354
many	16613:27248:1432:288
benefits,	12542:27615:2168:328
say.	19171:27694:1002:249
faculty,	2209:44455:6260:1089
students	9104:44429:6608:918
call	16143:44390:2803:905
for	19007:44390:2762:1115
university	2414:45807:8491:1089
compromise	11457:45741:10312:1181
by	2618:47435:654:301
james	3498:47435:1984:249
wilson	5688:47435:2209:249
fifty	3150:47841:1452:354
faculty	5196:47841:2066:354
and	11069:60941:900:288 8613:52685:1002:262 2659:51753:920:288 7877:47868:1002:275
students	2659:53499:2189:288 7815:62253:2475:288 9452:47868:2496:288 9902:50047:2127:275
gathered	2598:48275:2291:341
at	8982:60967:491:262 3171:58775:572:288 5074:48301:450:262
woodbridge	5708:48275:3089:380
hall	8941:48262:1063:328
yesterday	2618:48695:920:367 10168:48340:1554:328
to	6015:56163:470:249 11539:55310:450:249 2659:51346:450:262 2639:50900:470:262 3928:48721:450:275 6322:61413:450:262 4153:57029:450:249 2659:54404:470:249
present	4726:48747:1923:315 7672:56609:1902:315
yale	9698:60954:1166:275 3682:55690:1166:275 6997:48734:1186:275
president	8552:48747:2475:288
a.	11396:48760:511:275
bartlett	2700:49180:2005:275
giamatti	5135:49180:2291:275
with	7856:49167:1084:288
a	4235:58854:265:196 2659:57961:265:210 5647:63238:286:196 9370:49246:265:196 5074:51412:245:196 6424:53604:265:183
petition	10148:53997:1923:328 10087:49154:1943:354 6997:62699:1902:354
signed	2700:49613:1636:354 6997:50060:1616:341
by	8634:51372:613:341 4562:49613:593:341 8961:50047:593:354
more	5381:49692:1289:196
than	6874:49613:1125:275
1500	8225:49640:1002:249
students.	9432:49600:2271:288
the	7406:50493:757:275 9023:53984:777:275 6690:56137:777:275 6363:62266:879:275 7938:57882:777:275 5585:60521:777:275 3457:55244:961:315 5626:62713:797:275 4685:51766:941:275 9841:56583:757:275 3232:50060:961:262 5688:60954:777:288 2659:55690:797:275 6506:61820:777:288 5012:64051:777:275 11212:60507:777:275 4849:57003:777:275
petition,	4521:50060:2107:328
in	9821:50952:450:262 2475:50440:450:288
december,	3089:50440:2762:341
asks	6015:50480:1125:275
administration	8327:50493:3764:301
compromise	3375:50900:3171:341
financially	6813:50913:2741:380
order	10557:50952:1391:275
avoid	3375:51320:1391:288
new	5626:51412:982:196
strike	6874:51359:1473:275 5872:51792:1432:275 5422:60074:1473:288
locals	9514:51385:1657:275
34	11457:51412:511:249
35.	3805:51792:613:249
deadline,	7529:51792:2291:354
extended	10066:51818:1636:275 2659:52252:572:288
wednesday	3478:52225:2864:328
night,	6567:52238:1432:341
is	8225:52252:388:262
january	8818:52252:2148:354
25.	11171:52278:634:262
karin	3191:52632:1636:275
cope	5401:52645:1350:354 6751:63605:1248:341
'85	7345:52659:716:288
renee	10209:52685:1759:275
schwalbarg	2680:53065:3007:354
'87,	6097:53079:777:341
both	8879:59641:1063:275 7263:53092:1084:288
members	8716:53118:2414:262
of	4173:60954:470:288 11519:53118:450:275 7959:60521:491:288 5258:62266:531:288
for	7959:59641:695:275 9002:54850:695:275 5278:53512:716:275
negotiated	7140:53538:2782:328
settlement	2741:53971:1289:236 10373:53551:1370:275 3150:57882:2741:275 6363:63146:2721:288
(sns)	4439:53958:1452:262
delivered	2639:62713:2434:328 6281:53958:2393:288
university	3294:54378:2680:354
secretary	6158:54391:2475:354
john	8798:54404:1207:275
wilkinson,	10168:54417:1575:262 2659:54890:1002:262
who	10884:62253:1084:288 3867:54811:1002:288
accepted	5074:54837:2250:341
them	7509:54837:1289:275
giamatti.	2659:55257:491:275 9902:54850:1800:275
petitions	10884:56596:900:341 4705:55257:2168:341 2659:57016:1207:275
were	7161:55349:1227:196
addressed	8654:55270:2598:275
corporation.	5053:55690:3171:354
according	3171:56124:2659:354
students,	7672:56137:2271:328
wilkinson	2659:56649:838:196 10168:56150:1595:275
said	3764:56557:1043:288 8347:63592:1043:275 5994:59195:1063:288
he	10434:57016:572:275 5074:56570:572:262
would	9493:63133:1493:301 8061:64038:1514:288 9759:57449:1493:288 5913:56570:1493:275
corporation,	5892:57003:3191:341
but	9370:57016:797:275
expressed	2659:57436:1964:367 11253:57095:491:196 9473:62686:2578:354
his	4808:57436:716:275
hope	5708:57436:1186:354 2578:63211:1248:354
that	7079:57449:982:275 9780:63592:982:288 4214:63185:1023:275 7406:59208:982:275
there	8245:57449:1329:288
be	11437:63133:531:288 11437:57449:552:275 7283:61387:572:275
before	6097:57869:1616:301
corporation	8941:57896:3028:341
meets	2639:58342:1534:275
next	4399:58342:1104:249
week.	5708:58316:1411:288
press	4992:58841:1350:275
conference	6833:58762:2782:288
earlier,	10087:58775:1882:301
schwalberg	2639:59208:3028:341
student	8736:59208:1882:275
support	10966:59287:797:262 2618:59681:1063:341
remained	3907:59628:2455:301
firm	6608:59628:1084:288
unions.	10189:59654:1780:262
"a	2659:60101:695:275
second	3519:60087:1739:288
will	7058:60087:900:262
almost	8122:60074:1718:275
certainly	2618:60547:470:341 10025:60087:1739:275
hinge	3273:60521:1391:354
on	4828:60586:572:210
issue	6547:60521:1248:275
affirming	8593:60521:2455:341
unity	2618:60967:1329:354
all	4849:60954:613:288
workers	6670:60954:2086:275
it	2618:61426:327:262
promises	3457:61387:2373:367
every	8347:61466:1432:262
bit	10291:61387:654:275
as	5749:61899:531:210 11416:61466:552:183
destructive	2598:61833:2925:301
first,"	7488:61820:1554:341
she	11150:63592:838:275 9268:61820:838:288
said.	10312:61820:1207:275
some	3150:62306:1554:275
reached	2578:63605:2107:341
soon.	5074:63684:1248:196
thought	2250:64064:2291:328
un»n	6219:64130:1391:223
achieve	10005:64038:1964:275
many	12480:47540:1452:262
of	12521:51044:450:275 16511:50598:470:275 16941:49285:470:288 14097:47461:470:275 12480:47894:470:288
its	14711:47461:593:275
goals.	15468:47461:1473:328
"that's	17186:47461:1902:262
the	19253:47461:777:262 12521:50178:797:262 13053:48852:941:288 12521:51477:797:275
nature	20194:47474:1657:249
compromise.	13197:47881:3375:367
there	16879:47881:1493:275
wil	18639:47894:757:262
be	19683:47881:572:275
some	20521:47960:1329:210
gain	12480:48340:1084:354
towards	13974:48314:2046:301
comparable	16409:48327:3069:354
worth,"	19867:48327:1964:315
taculty	14158:48852:1780:354
members	13933:50598:2434:275 16102:48892:2414:249
and	18680:48852:941:288 15713:51031:941:288
students	19764:48852:2086:288
picketed	12521:49285:2189:367
in	19314:50611:429:275 14895:49285:450:288
front	15509:49285:1248:288
woodbridge	17575:49285:3069:367
hall	20849:49298:1002:275
for	12521:49732:716:275
nearly	13503:49732:1657:354
an	15406:49810:613:196
hour	16266:49732:1166:275
after	17677:49732:1248:275
presenting	19191:49745:2659:341
petitions.	13667:50165:2352:354
faculty	16409:50165:1984:354 17166:50611:1964:341
participants	18762:50178:3089:341
were	12521:50677:1248:196
support	19887:50611:1964:354
locals	13197:51031:1657:288
34	15058:51057:491:262
35,	16838:51057:634:315
which	17677:51031:1514:288
organized	19355:51044:2496:341
picketing.	13524:51464:2496:354
snowy	2557:42421:2086:288
protest	5012:42460:2721:275
—	7897:42618:552:39
students	8634:42473:2189:275
and	5074:42906:900:262 11191:42486:920:262
members	12501:42486:2393:262
of	16961:42933:511:262 15283:42486:470:275 21606:42513:470:262
faculty	16122:42499:1964:328
in	18475:42499:429:262 14977:42919:429:275
support	19294:42499:1964:341
locals	2557:42893:1657:262
34	4399:42906:470:249
35	6138:42919:511:249
marched	6833:42906:2250:275
for	9268:42906:736:275
an	10148:42985:572:196
hour	10905:42906:1186:288
yesterday	12235:42919:2557:341
front	15590:42933:1227:262
woodbridge	17616:42933:3048:341
hall.	20828:42959:1207:262
the	8102:43786:797:275 2537:43339:961:262
protesters	3662:43353:2578:315
had	6424:43339:900:275
gathered	7509:43353:2271:341
to	13094:43825:491:236 9943:43366:470:262
present	10578:43379:1902:315
university	12644:43353:2700:354
secretary	15529:43366:2516:341
john	18168:43379:1227:262
wilkinson	19560:43379:2496:275
with	2537:43773:1084:262 17166:43825:1043:249
petitions	3826:43773:2189:328
asking	6219:43786:1677:354
administration	9084:43786:3805:275
compromise	13769:43812:3191:328
yale's	18475:43825:1575:262
unions.	20235:43838:1780:262
snowy	2557:42421:2086:288
protest	5012:42460:2721:275
—	7897:42618:552:39
students	8634:42473:2189:275
and	5074:42906:900:262 11191:42486:920:262
members	12501:42486:2393:262
of	16961:42933:511:262 15283:42486:470:275 21606:42513:470:262
faculty	16122:42499:1964:328
in	18475:42499:429:262 14977:42919:429:275
support	19294:42499:1964:341
locals	2557:42893:1657:262
34	4399:42906:470:249
35	6138:42919:511:249
marched	6833:42906:2250:275
for	9268:42906:736:275
an	10148:42985:572:196
hour	10905:42906:1186:288
yesterday	12235:42919:2557:341
front	15590:42933:1227:262
woodbridge	17616:42933:3048:341
hall.	20828:42959:1207:262
the	8102:43786:797:275 2537:43339:961:262
protesters	3662:43353:2578:315
had	6424:43339:900:275
gathered	7509:43353:2271:341
to	13094:43825:491:236 9943:43366:470:262
present	10578:43379:1902:315
university	12644:43353:2700:354
secretary	15529:43366:2516:341
john	18168:43379:1227:262
wilkinson	19560:43379:2496:275
with	2537:43773:1084:262 17166:43825:1043:249
petitions	3826:43773:2189:328
asking	6219:43786:1677:354
administration	9084:43786:3805:275
compromise	13769:43812:3191:328
yale's	18475:43825:1575:262
unions.	20235:43838:1780:262
inside:	13667:52265:7365:866
si	13544:54076:879:564
kahn	14895:54063:2639:577
to	13503:54942:961:446
perform	14936:54837:4112:669
p.	19867:55008:900:498 19621:57738:879:498 19601:59996:900:485
3	21319:54877:450:525
choosing	13217:56675:4726:669
classes	18414:56675:3212:577
5	21074:57620:429:511
fencing	13258:58775:3907:669
preview	17616:58788:3846:656
6	21012:59838:531:525
also	13626:60967:2250:577
.	16409:61453:143:78 17186:61453:143:91
after	13156:62739:4010:538
hours	17493:62686:4194:564
wanted:	23099:22615:10434:1430
one	34435:22641:5156:1430
yale	40634:22641:5340:1443
college	46527:22641:9248:1824
dean	56532:22733:5872:1417
search	22915:24846:5462:905
committee	29156:24859:8695:905
to	38568:25003:1636:761
start	41125:24911:3641:826
deliberations	45545:24820:10598:945
soon	56941:25135:3826:630
by	22997:26250:634:315
daniel	23877:26237:2271:262
froomkin	26373:26224:3191:262
nobody	23529:26657:1923:354
wants	25657:26683:1493:249
to	31918:28836:450:249 24716:29742:470:275 27376:26670:470:262 24409:33180:470:262 31897:28390:470:262
be	28051:26644:572:275 25391:33154:572:275
the	31406:27064:941:275 28828:26631:777:288 27048:31028:777:288
next	29831:26657:1104:249
dean	31120:26618:1207:275
of	24491:30175:470:275 22977:27117:491:275
yale	23693:27117:1166:275 31181:27497:1145:275
college,	25105:27103:2025:341
or	27355:27169:552:196
so	28112:27169:511:196
they	24307:31054:1084:328 28828:27090:1125:328
say.	30158:27143:1002:275
search	22997:27550:1718:288
committee	24859:27550:2762:275
appointed	27764:27510:2516:367
by	30424:27497:593:354
president	26537:27957:2496:288
a.	29422:27957:511:275
bartlett	30342:27930:2005:288
news	24041:28285:1370:262
giamatti	26557:28403:2271:288
last	29053:28390:900:275
month	30117:28377:1616:288
analysis	23631:28705:2168:341
jj	26557:28849:347:275
n(	26926:28928:450:196
j	27376:28836:184:275
a	28071:28915:286:196
