'	17492:33603:110:95
—''	57660:22651:1169:525
—"	56777:31454:1169:302
:	15683:13960:1124:525
1,006	39925:40686:1764:461
1,068	39925:41275:1742:461
1,077	39925:41976:1720:366
1,086	39991:34860:1764:461
1,138	39903:42437:1742:509
1,180	39903:43042:1764:445
1,271	39903:43743:1654:366
1,656	39903:45955:1742:509
1,667	39881:46560:1720:477
1,770	39881:47260:1742:366
1.339	39903:44332:1742:382
10	57042:29814:639:270
103	49498:54838:1036:366
11	62755:26758:772:413
118	46697:44809:1058:397
14	56447:33921:661:366 56557:24529:683:382 47116:41976:683:397
144	43675:62574:1080:382
181	46697:45398:992:382
185	46851:27824:1014:509
1876	30440:55840:1477:493
188	56248:54089:1014:397
1880	33947:25166:1786:382 33837:38346:1477:382 33925:27220:1477:382
1881	33903:27808:1389:382 33815:38919:1389:397
1882	33815:39524:1455:382 33903:28397:1455:397
1883	33815:40113:1455:493 33881:28986:1455:509
1884	33881:29575:1499:493 33793:40686:1477:509
1885	33793:41275:1433:525 33903:30164:1411:509
1886	33903:30737:1455:413 33793:41864:1477:397
1887	33793:42453:1433:493 33881:31342:1433:493
1888	33793:43042:1455:397 33881:31931:1433:382
1889	33793:43631:1455:493 33881:32504:1455:509
1890	33793:44220:1455:493 33859:33109:1499:509
1891	33771:44793:1389:525 33859:33698:1411:509
1892	33859:34287:1455:493 33771:45398:1455:509
1893	33859:34860:1455:525 33771:45987:1455:493
1894	33771:46576:1477:493 33859:35465:1477:493
1895	33859:36054:1433:477 33771:47165:1411:493
1896	44469:8961:2051:477
190	46851:27347:1058:397
2	55741:43185:463:413
20	47072:42581:727:270 55983:31581:727:270
20—"the	57329:25564:3617:429
206	46785:28413:1124:382
212	46763:29114:1124:286
22	58101:35672:705:286 47072:41403:727:270
24	42682:8993:1147:557
249	46763:29703:1124:397
25	47094:39636:683:397
251	46763:30276:1058:413
25th	49454:51654:1720:509
26	47094:40113:705:382
26—"glaciers	57616:32600:5955:509
26—"henry	57682:26758:4543:525
279	46763:30865:1124:397
28	47072:40686:705:397
280	46631:45987:1147:382
291	46763:31470:1058:397
30	58498:36850:749:397 47094:39063:727:366
308	46763:31947:1102:493
31	56182:21600:617:366
320	46631:46687:1147:397
343	46763:32648:1102:382
34o	46609:47276:1169:382
35	47072:43170:661:397
37	47094:38458:705:397
379	46763:33205:1124:413
3p	50711:19149:1345:493
4	57241:22762:374:382
461	46697:33698:1124:493
5	31609:62653:264:413
529	46763:34383:1102:413
563	40675:30148:1080:509
570	40653:30849:1124:413
580	40675:29575:1102:509
584	46763:36054:1102:477
6	56270:27920:1588:541
601	40609:27808:1080:382 46719:34860:1080:413
611	40631:28382:1058:397
612	40631:27220:1147:382 40609:28971:1169:397
614	40587:31342:1191:477
65	47028:43647:705:509
665	46719:35465:1124:477
688	40609:31915:1147:397
7	63152:43281:330:382 35337:15488:308:366
736	40609:32504:1169:509
77	29690:58737:1169:477
8	47314:63035:308:366
832	40609:33109:1147:493
843	40565:38330:1147:509
857	40543:38919:1124:509
87	10874:9057:1124:445
88	47050:44220:705:397
888	40609:33682:1124:397
928	40498:39524:1169:493
96	37322:18433:1169:509 46719:19006:1147:525 52278:48916:904:509
966	40587:34271:1169:509
97	41116:55299:926:525
972	40520:40209:1169:397
98	46653:18433:1301:509 38072:55299:970:525 41006:19611:1147:525
99	33682:54153:948:493
a	12418:55649:397:286 12683:55060:419:270 36329:56604:397:270 53998:37917:772:397 22764:20741:397:270 52895:53660:397:270 29558:44841:374:270 41094:60743:1124:382 33616:60886:397:270 16036:14756:374:286 6264:34558:374:286 5691:51574:374:270 8646:51001:397:270 58674:30865:794:413 50689:28652:397:270 17889:63847:397:270 5801:42214:419:270 57439:27331:816:413 60373:15631:397:270 5249:52752:397:270 2338:19245:419:286 26006:40734:374:270 27572:37200:397:270 25389:13721:397:270 24462:37805:419:270 18948:38983:419:270
ability	29690:25882:2426:541
about	33616:56477:2095:397
ac	30969:30148:727:286
aca	46211:23017:1323:397
academic	19631:60361:3396:397 38646:37582:3926:429 24881:61953:3749:445 41116:16666:3727:413 38734:26487:3904:397
accomplished	22609:48805:5139:541
according	28477:18258:3727:541 22852:54073:3771:541
account	7610:29973:2889:318
accurate	28830:23606:3220:334
activity	28697:43536:3044:525
adapted	20955:40607:3021:541
advance	19764:17096:3088:413
advantageous	26756:45303:5227:525
advantages	22058:33539:4301:541 35359:12241:3463:366
affirmative	33881:17828:4080:429 49476:46847:4058:413
after	2161:49680:1808:413
afternoon	21947:63131:3816:413 49344:58642:3639:413
agility	17999:23542:2426:557
ahead	2183:60186:2205:413
al	15242:59024:617:413
all	6815:22651:904:413 31124:46480:860:397 37432:63640:1124:413 12837:53198:882:397 21617:52927:882:382 6441:21218:904:413 53954:52943:1124:397 60373:18544:882:413 11382:34972:904:413 22411:28843:904:397 50050:57225:1124:397 27043:61380:904:413 60395:51606:904:413 27374:24720:926:397
allowance	35668:53421:3749:397
american	28212:56986:3683:413
among	2227:38681:2536:413
