our	3484:32620:1241:278
college	5031:32496:2570:526
days	7971:32496:1829:526
it	3310:33317:588:402
is	4225:33317:544:402
strange	5096:33363:2744:495
but	8058:33332:1241:387
true	9735:33363:1502:356
that	11565:33317:1502:402
in	13285:33317:675:402
fresh	14222:33317:1807:402
man	2482:34277:1764:340
and	4660:34153:1502:464
to	6555:34231:696:325
some	7601:34277:1851:278
extent	9953:34200:2352:356
in	12784:34153:675:402
sopho	13960:34153:2003:526
more	2482:35098:1873:294
year	4704:35098:1807:402
men	6773:35098:1589:294
are	8690:35114:1132:294
apt	10127:35036:1197:480
to	11521:35036:675:371
look	12457:34990:1589:418
down	14374:34990:1960:433
upon	2482:35935:1829:402
the	4639:35811:1154:402
hard	6120:35811:1698:402
student	8036:35826:2940:387
he	11935:35842:1067:387
is	13307:35826:544:418
called	14200:35826:2177:402
a	2504:36771:392:263
dig	3201:36632:2134:542
or	5728:36771:740:263
a	6925:36786:392:247
grind	7601:36647:3245:542
when	11238:36663:1981:387
in	13808:36663:653:387
nine	14788:36663:1589:402
'	16617:36632:239:557
cases	2504:37607:1894:278
out	4987:37530:1176:356
of	6512:37468:696:418
ten	7775:37530:1154:356
the	9474:37483:1132:418
expression	11238:37499:3985:511
is	15790:37499:544:402
most	2504:38351:1785:356
inappropriate	4530:38304:5227:526
the	10737:38320:1437:418
fact	12414:38320:1393:433
is	14004:38320:566:433
that	14875:38335:1502:418
as	2504:39265:740:263
men	3550:39265:1568:263
go	5444:39265:849:402
on	6642:39265:849:278
in	7818:39141:653:387
their	8820:39156:1742:402
college	10889:39172:2591:526
course	13982:39296:2395:278
they	2482:39946:1655:511
appreciate	5031:39962:3898:526
real	9648:39993:1393:387
scholarship	12174:39993:4181:542
more	2482:40922:1894:278
and	4726:40798:1328:402
more	6359:40938:2069:325
and	8842:40814:1328:402
there	10650:40814:1916:418
is	13067:40814:544:418
hardly	13938:40829:2439:511
a	2482:41743:413:278
man	3179:41743:1568:278
of	5357:41635:718:402
