breaking	54964:33913:2248:344
brewster.	8343:63033:2496:314
brilliant	27190:49656:2024:299
brown	32475:56831:1731:284
brown,	27212:45867:1844:359
brunn,	9400:22768:1709:344
bryant,	32362:23592:1889:344
bumiller	31890:63512:2248:314
but	52445:29524:809:284 7061:30887:944:284
by	10772:21330:584:359 9198:28490:607:359 19993:50196:652:344 20015:48713:832:359 21702:46271:584:344 25705:40564:584:344 18441:36804:607:359 18981:33464:607:344 22354:54465:584:359 20802:62104:629:344 21050:63527:607:359 22129:57805:584:359 22782:53027:607:359 14460:58764:584:359 28584:61116:607:359 35713:60172:584:359 29034:44443:607:359 32250:52532:584:344 29663:28820:607:344 43472:50540:652:284 48600:49581:652:344 43630:32774:584:359 46666:44234:629:374 39829:34227:607:359 47835:60097:607:374
c	21567:54465:494:314
c,	59777:38631:539:254
c.	15967:55438:517:314 19093:50196:562:284 57663:38631:382:194 63106:62359:517:299
cady,	52625:39485:1439:359
campaign	9018:51574:2428:374
can	16192:42586:854:194
candidates	23569:32939:2608:284
capacity	52333:23682:2069:374
capt.)	55549:38527:1551:374 62768:38542:1551:359
captain	29056:24551:1934:344 29956:23592:1956:359
career	8231:24296:1574:194
careful	23209:32460:1754:299
carefully	20847:40579:2226:344
carnegie	17114:53521:2271:374 28449:26918:2271:359 26875:18859:2271:359 34566:8373:3935:644
carried	11784:51574:1776:314
carry	59687:19967:1349:254
casting	55819:63827:1799:359
casts	42438:40474:1214:239
certain	35128:17900:1709:284
champion	21455:59722:2586:344 33059:22633:2428:359
championship	52333:23203:3440:374 56111:20357:3463:344
chapel	30788:55378:1551:359 30945:59678:1596:374 32137:54899:1889:344
chapter	5127:60157:1866:374
charles	29371:56816:1934:299
chase	60789:38542:1506:299
chemistry	27190:56337:2631:359
chi	36860:62584:877:299
chief	55976:32460:1236:314
chinese	57236:54165:1956:314
chosen	10570:48713:1709:299
church.	27212:59198:1844:299
city,	28831:63992:1214:344
city.	26965:25974:1057:359
class	1754:61131:1326:299 36815:63048:1326:314
class.	46013:44713:1439:284
clean	30788:10395:2069:434
clear,	57528:33913:1349:344
cleveland	35016:25000:2473:299
—close	29056:38287:2203:269
close	33262:43515:1236:299
closely	47610:59153:1709:359 60452:33434:1731:374
closer	17586:30602:1731:299
closest	24626:56846:1641:314
club	14483:52577:1169:299 22849:48233:1686:359 46148:37074:1146:299 39919:38527:1169:314 62139:21780:1169:314
club,	20690:62569:1281:359
club.	19745:58779:1304:299
coach	27752:52997:1551:284 30653:28805:1574:299
college	21477:32954:1731:344 17766:39171:1754:344 15292:46750:1731:344 29124:62554:1889:359
colleges	14483:42496:1214:359 25368:41987:719:284 19363:40099:1979:359 27190:43964:1979:374
colleges.	21455:31516:2428:344
come	53840:33044:1281:209
communion	29371:58269:2923:284
company,	3463:18065:2496:344
comparative	29079:43020:3126:359
competed	28561:25509:2361:344
complete	33262:53476:2226:359 60092:29539:2226:344
completely	52356:24656:1664:344 62903:24266:944:209
composed	56516:58120:2428:344
compositions,	50444:55888:944:209 39874:56277:2361:359
conceded	29776:44923:2248:314
concert	11447:18050:1821:239 39874:54405:1866:254 44911:62554:1844:254 9198:10500:2833:419
concerto	11244:36145:2271:284
concerts	42370:58240:2091:254
condition	29169:14125:2653:284 57573:30003:2316:299 58743:13661:2653:299
conduct	47228:51978:1956:284
conducted	32947:60172:2518:299
conference	20105:33913:2721:299
conn.,	61756:57625:1574:344
connected	39941:59648:539:284 49634:59183:1889:269
connection	60249:51184:2698:314
considerably,	29304:47305:3305:344
considerate	14348:32999:2878:314
consist	45789:55798:1731:299
conspicuous	6229:19458:2991:359
constantly.	43742:62029:2743:359
construct	50646:40983:809:194 39941:41373:1596:299
contender	21072:55903:2473:299
contest	31777:38287:2046:269 60204:17046:1776:239
contest,	52333:24221:1911:299
contests	32812:16537:1979:239 26875:19383:2001:254
contributions	8860:42946:3755:284
contributors,	1731:47769:3238:359
conviction	19813:37733:2608:299 15562:44848:2586:299
co-operation	15248:31097:3598:359
corigliana,	1484:21869:2833:359
corigliano	6949:37568:2698:374
corns	7624:32415:1304:239
corporation	7668:55393:3081:374
course	3845:57401:1619:209 44889:42901:1619:179
court	11964:28940:1439:314
created	9535:50151:1821:299
crimson	29843:46825:2159:299 33217:32984:3598:644 55077:20836:2114:284 56898:34872:2159:329
crimson,	56584:18454:2271:329
criticism	20375:36774:2226:314
crowd	19161:41537:1551:284 54829:23682:1551:314
crucial	61914:13166:1934:299
curtis,	52625:38047:1709:344
czecho-slovakia.	5982:23727:4430:329
d	46756:57715:449:299 8613:36145:449:299
daily	29259:59678:1236:359
dance	46283:38032:1394:299
dangerous	17159:59258:2608:359 25188:40084:809:299 14460:40699:1664:269
dartmouth	26695:7549:5105:644 33779:19338:2788:269 30428:21705:2833:284 34274:34976:3980:449 36185:51604:2811:284 34836:45417:2811:299 52670:59558:1596:314 63038:59048:1146:284 53952:61939:2811:314 52648:46421:2811:299 54717:41582:4205:344
dartmouth,	31418:49207:2946:344
dartmouth.	28157:16971:2946:284
dash	19431:57820:1124:314 17092:60217:1146:284
dash.	26942:24566:1259:284
dash—won	17676:63527:3013:314 17407:62119:3013:284
david	40481:51499:1506:299
days	43630:43290:1124:344
dean	27729:56816:1326:299 48375:51499:1304:284 49522:49581:1394:284
debate	62791:48802:1596:299 59530:59063:1596:299 59777:56082:1776:314 56808:51679:1619:299 62813:49282:1596:299
debate.	60047:54659:1731:299
debaters	54694:41088:3395:374
debates	52603:55139:1844:299
debating	60317:59992:2338:374 54290:48323:2316:374 52603:53221:787:374 62678:52727:1439:299 55886:45941:2338:359
debussy—	40481:57236:2698:344
debut	8186:28970:1394:299
decidedly	30406:43515:2361:344
defeat.	47925:25569:1821:284
defeated	14460:54480:2069:299 16237:48728:3373:344 35736:45896:2114:299 58518:22214:2069:344
defeating	28674:49192:2361:359
defeats,	35511:46376:1911:359
defensive	63555:34902:539:314 52535:35351:1754:314
department	25300:33883:607:299 14393:34467:2293:329 55279:26184:2878:359
department.	30181:56337:3148:374
devotion	12189:45807:1124:314 1731:46346:989:299
did	59327:30962:764:299
different	39919:40429:2159:299 46508:40414:2181:284
difficulties	17362:43889:2608:329
dinner	46778:37538:1619:314 50017:35141:1619:314
direction	10120:25135:2271:299 48667:41837:2248:299
discourage	18576:29164:3058:404
discouraging	14438:38706:2518:359 25345:38182:697:299
discussing	23726:42466:2586:344
displaced	28449:52023:2338:374
disposed	30878:43979:2114:359
dispute	16350:36804:1776:374
distinguished	10277:17046:2743:359 1416:17615:562:284 14933:24895:3688:374
diving	22961:55423:1596:344
divinity	37827:56831:877:299 27190:57281:1146:374 34926:60636:2114:374
divisions	9715:57296:2203:314
dollars	1731:45372:1731:314
done	62094:33928:1191:299
donna	4025:17600:1529:269 8478:13286:1799:269
donna,	14910:25405:1979:314
doux,	6814:38077:1394:344
drama.	47565:42796:1731:284
dramat.	44529:26603:5172:524
during	17362:46735:1664:359 17407:35366:1686:359 26897:21240:1664:344 3935:52068:1686:359 3710:49207:1731:359 5577:46301:1709:374 39874:53895:1686:344 49904:42781:1844:359 6859:41957:2541:374
duty	22197:28640:1349:434 23006:38197:1124:359
e.	30900:50151:539:299 38479:50181:517:299 60159:58105:517:284 61261:60951:539:299 63893:44488:517:314 53952:62434:539:284 8905:62074:562:299
each	33599:25494:1124:299 32834:25974:1124:284 54335:63842:1124:314 60767:21300:1124:299
early	12054:24161:1259:359
east	32137:17436:1124:269 32969:17915:1124:269
east,	26965:23607:1236:359
east.	62768:20357:1281:284
easy	32092:20372:1101:254
education	24446:34377:1484:284 14393:34917:967:299
educational	17991:43425:2856:299
educator	15877:28700:2496:374
effort,	24761:46720:1551:359
eighteen	30788:51094:2091:359
either	31463:24071:1461:299
elaborate	33914:27861:2338:284
elected	5172:60636:1709:314
election	31508:63033:1956:299
elects	7174:59693:1596:284
eli	21230:48713:1012:344
elis	36500:49222:989:299
elizabeth	50197:46136:1304:299 39919:46630:1057:299
elkum,	49904:45657:1844:359
elmore	31260:61116:1911:299
emil	7421:22304:1236:284
eminently	55234:44983:2496:344
