the	30703:27622:1257:458 27121:27622:1038:437 30922:30413:1038:437 20450:10207:1066:437 28406:28309:1038:458 18072:15060:1066:458 23321:28309:1038:437 28871:15769:1066:458 31004:8832:1066:437 27039:9519:1011:437 23676:31767:1038:437 27641:12311:1038:437 18017:24101:1066:458 25043:16456:1066:458 28352:19227:1093:479 30949:25539:1066:458 29144:15081:1066:437 23786:15769:1066:458
little	18072:9499:1585:458
development	20341:9499:4374:583
off	31113:17144:956:479 25836:23435:902:458 25426:9519:902:437
interstate	28734:9519:3335:437
where	18044:10207:2105:437
houses	21762:10207:2269:458
are	24305:10332:1120:312
so	24606:11727:683:333 25727:10332:683:333
neat	26711:10228:1449:437
and	28461:10207:1202:437 22255:15060:1257:458 29883:29017:1257:437 28215:31788:1230:437
pretty	29965:10228:2105:541
because	18072:10873:2734:458
they	24497:26226:1394:562 30511:26934:1476:562 21079:10915:1449:541
all	22747:15769:874:458 22801:10915:820:437 22118:28288:820:458
look	23922:10894:1367:458
alike.	25563:10894:1831:479
squeaky	29226:10894:2788:583
brooklyn	18072:11582:3116:562
accent	21407:11623:2214:416
is	31468:14373:574:458 23868:11623:519:416
effective	25535:11602:2952:437
that	28707:11602:1339:437
if	30265:11582:464:458
she	30922:11602:1148:437
had	18044:12269:1257:458
anything	19603:12290:3007:562
more	22938:12415:1749:333
to	27039:23455:628:437 31386:16498:628:416 27531:19248:656:479 23704:26934:628:437 25016:12311:628:437 25508:22768:601:437 20614:29017:601:437 27395:30413:628:437 28406:17873:656:437
say,	25946:12415:1339:437
audience	28980:12290:3089:458
would	18044:12977:2050:458
flee.	20341:12998:1421:437
ward	18782:13686:1831:437
wheeler,	21161:13686:3007:541
who	24715:13686:1367:458
plays	20751:15769:1804:562 26602:13686:1831:562
former	18044:14373:2405:458
boyfriend,	20778:14373:3444:583
lously	24551:14373:2023:583
violent	26848:14373:2323:458
orin,	29445:14373:1722:562
funniest	19329:15060:2734:458
most	23704:15102:1667:437
relaxed	25535:15060:2597:458
cast.	30402:15102:1585:437
he	20286:17144:820:458 18072:15769:929:458 28187:18539:929:458 28078:17144:820:479 20067:19914:847:479 29500:29705:765:458
also	19192:15748:1367:479
bit	25016:15748:902:479
parts	26082:15790:1777:541
show.	30101:15769:1859:458
as	18044:16456:874:458 22610:31871:738:333 26274:21351:874:437
orin	19192:16456:1503:458 28160:29017:1503:437
chronicling	20942:16456:3855:583
lucrative	26328:16456:3089:458
uses	29664:16581:1476:333
which	18044:17144:2023:458
has	21325:17144:1148:479
put	22719:17185:1066:562
his	29035:22726:984:479 18044:17831:984:458 24004:17164:984:458 27149:31080:984:437
sadism,	25180:17144:2679:562
takes	29090:17164:1804:458
leather	19247:17831:2460:479
jacket	21872:17831:2159:604
mid-song	25071:17831:3116:604
reveal	29226:17852:2159:479
spotless	18044:18518:2706:583
white	20970:18539:1886:458
dentist's	23047:18518:2898:499
shirt.	26137:18539:1804:479
meets	29336:18581:2050:416
hysterical	18044:19227:3472:562
end,	21653:19227:1449:562
attributable	23294:19227:4101:479
nitrous	29582:19227:2433:479
oxide	18017:19893:1859:499
gulps	21052:19914:1831:604
before	23075:19914:2187:479 20505:23414:2159:458
extracting	25426:19935:3554:583
teeth.	29172:19935:1886:479
later	19138:20602:1831:499
number	21653:20602:2870:499
wheeler	18017:22706:2843:458 25207:20622:3089:479
changes	28953:20622:3034:624
costumes	18017:21351:3226:437
four	21735:21310:1421:499
times.	23649:21331:2077:479
an	27641:21456:820:354
old	28953:21310:1066:499
lady	30484:21331:1503:604
fawning	18017:21997:2870:583
over	21626:22143:1558:354
gardening	25809:22018:3608:583
hero,	30129:22039:1804:541
makes	21161:22726:2241:458
sure	23704:22851:1476:333
expose	26438:22851:2323:458
belly	30293:22726:1695:583
button	18044:23393:2132:458
rushing	22965:23435:2542:562
change	27969:23435:2433:562
into	30703:23455:1257:458
next	19329:24164:1476:395
costume.	21052:24164:3034:416
three	18700:24809:2050:437
back-up	21216:24809:2679:583
singers,	24305:24830:2624:562
"the	27477:24830:1695:458
girls,"	29609:24830:2323:562
provide	18017:25497:2597:541
fascinating	21407:25518:3800:562
commentary	25399:25539:4374:562
on	29965:25643:765:354
events.	18017:26226:2405:416
"da-doo,"	20751:26205:3472:541
wail	26164:26226:1394:437
first.	27859:26226:1613:458
"what	29801:26226:2159:458
creepy	18810:27018:2351:458
thing	21544:26913:1749:562
be	24715:26913:765:458
happening,"	25891:26913:4210:583
sing	18017:27601:1394:541
later,	19685:27601:1831:520
bopping	21790:27601:2652:583
across	24688:27726:2187:333
stage.	28406:27663:1995:520
girls,	18044:28288:1886:541
with	20286:28288:1476:458
vitality	24661:28309:2433:562
street,	29773:28351:2159:520
submit	18017:28976:2351:458
brief	22091:28976:1640:479
attack	23922:28997:2132:458
from	26274:28997:1640:458
turn	18017:29705:1394:416
assault	19685:29684:2460:458
poor	22419:29809:1503:437
seymour	24196:29705:3034:541
when	27449:29705:1777:437
cannot	17990:30371:1011:437 30539:29830:1093:333
decide	19384:30351:2214:479
whether	21899:30371:2788:458
or	25016:30517:710:312
not	26028:30413:1066:416
accept	28352:30434:2214:520
fame	17990:31059:1722:437
thrust	20067:31059:2050:458
upon	22419:31184:1640:437
him	24387:31080:1285:437
by	26028:31080:792:562
evil	28434:31101:1230:437
plant.	29965:31101:1968:562
jana	17962:31746:1640:458
hearn,	19958:31767:2296:541
grinding	25016:31767:2870:562
swinging	29773:31788:1831:562
swinging	33492:26080:1093:562
ronnette,	34804:26101:3308:520
is	38385:26101:546:437 39096:30267:519:437
especially	39178:26101:3417:562
snappy,	42815:26226:2652:437
aided	45713:26101:1913:437
by	33519:26768:820:583
vincent	34558:26788:2652:458
brown's	37456:26788:2788:458
lively	40491:26788:1886:562
choreography.	42596:26788:4948:562
unfortunately,	34230:27476:5057:562
the	42651:30955:1038:437 35241:28184:1038:437 39862:27497:1066:437
excellent	41448:27497:3116:437
singing	45111:27497:2487:562
