yale	29468:15782:3323:471
log	33189:15782:2530:471
record	23664:16774:2306:386
to-morrow	26243:16825:3795:336
johnson	23564:17616:3026:403
82	26913:17599:1116:454
is	28451:17599:570:386
worse	29369:17733:2158:252
polo	23564:18440:1413:403
at	25325:18491:644:336
the	26318:18423:1041:403
rink	27781:18440:1637:370
to-night	29766:18423:2976:471
foster	23564:19315:2331:420
82	26218:19281:1215:487
returned	27781:19265:2951:420
ye-trrday	31130:19248:3571:555
did	23664:20156:1190:386
you	25177:20291:1265:386
go	26764:20257:843:420
to	27955:20190:644:336
the	28947:20140:1066:370
bill	30460:20106:1240:386
last	32097:20106:1240:386
night	33710:20089:1984:538
sol	23589:20998:1190:370
smith	25177:20981:2034:386
russell	27608:20947:2430:403
at	30411:21031:644:302
carll's	31403:20930:2108:403
to-night	33858:20913:2951:555
signs	23589:21839:1860:521
are	25698:21940:1066:269
rapidly	27062:21788:2530:555
disappearing	29964:21788:4489:521
from	34776:21772:1562:403
college	36711:21755:2505:538
rooms	39564:21889:2257:286
the	23589:22680:1289:370
new	25226:22781:1339:269
launch	26863:22647:2331:403
will	29567:22613:1289:403
make	31254:22630:1785:386
its	33362:22613:818:386
trial	34503:22596:1562:403
trip	36314:22613:1289:454
to-morrow	37951:22647:3795:353
seniors	23614:23505:2604:386
are	26467:23606:1066:286
worrying	27856:23471:3249:504
over	31403:23589:1562:252
compositions	33313:23454:4514:521
at	38150:23488:669:336
present	39092:23488:2728:487
praise	23614:24346:2133:386
service	26070:24312:2430:403
sunday	28848:24295:2505:487
night	31750:24295:1984:521
doors	34255:24279:2058:403
open	36711:24430:1562:386
at	38646:24346:669:319
v	39539:24295:322:403
o'clock	40084:24279:2530:437
a	23639:25187:520:370
banjo	24507:25170:1860:521
and	26715:25153:1190:386
guitar	28252:25153:2182:471
club	30758:25137:1463:403
is	32544:25120:545:403
to	33412:25187:644:319
be	34355:25120:768:403
started	35471:25103:2381:403
in	38423:25120:595:370
college	39638:25103:2753:538
the	23639:26012:1289:386
seniors	25276:26012:2554:386
have	28128:25978:1637:403
gotten	30311:26012:2207:487
through	32841:25944:2951:521
with	36041:25961:1513:386
the	38026:25944:1066:403
national	39663:25944:2926:403
banks	22845:26718:2306:386
