high	17948:3183:1091:358 16344:4139:1091:358
position	19417:3198:1959:343
this	18037:14108:890:298 14385:18397:868:298 22579:3198:890:298 23960:13181:890:283 21755:19369:868:298
scientific	23849:3198:2182:298
equivalent	14340:3676:2516:343
phi	21911:30861:846:283 14407:27992:846:283 19551:28948:846:283 25229:14616:846:283 18059:3676:846:269
beta	20776:28948:1135:298 14407:15064:1135:283 15699:27992:1135:283 23069:30861:1113:298 19284:3676:1135:283
kappa	24472:30876:1603:343 22268:28963:1647:343 20753:3691:1625:328
and	15498:17949:846:254 17235:25631:868:269 19774:16992:846:283 16567:32745:868:298 23737:33238:846:283 23047:12240:890:269 18103:12703:868:283 16946:10312:846:283 18927:11761:868:269 22713:3691:890:269 19373:19369:868:283 18727:23688:868:283 19929:28470:846:298
expressed	15543:33701:2449:328 23938:3766:1848:254 14340:4154:512:269
his	16500:8399:690:283 15253:4139:690:283 14385:24151:690:298 17769:32745:690:313 23960:16514:690:283
appreciation	17836:4154:3072:343
its	19885:33701:534:269 22179:4154:556:269 14362:6501:556:298
work.	23114:4139:1447:298
with	22357:13181:1313:283 14897:4618:1313:298 22446:29427:1113:298 19128:17471:1113:283
reference	16589:4618:2293:298
to	22357:21820:445:239 19529:22761:489:254 19929:14661:489:224 19774:12270:445:239 19217:4677:467:239 25586:6082:489:239 23849:11328:467:239 21288:36077:712:283 22602:11791:445:239 25630:24719:467:239 23826:26632:467:239 19885:17994:445:224 16033:36571:467:239
recently	21199:4618:1981:343
completed	23537:4618:2516:343
endowment	14340:5096:2850:283
fund,	17502:5081:1224:358
president	20531:16036:2293:343 23715:32296:2360:283 19306:7920:2382:298 22869:26124:2293:343 19106:5081:2382:298
angell	22312:7920:1670:358 21822:5081:1670:358
disclosed	23826:5081:2226:298
fact	15409:5559:912:283 23849:18427:935:269 25162:13181:935:283
