'	20080:52204:326:372
-	10105:53073:283:108 23260:56642:217:77 60612:27219:3158:744 46434:55385:196:108
—	20886:32045:500:31
&	39399:36670:544:372 39638:38501:544:387 41490:52282:413:713 56191:4391:740:1319 39987:47905:544:387 8995:18777:631:465 57019:61205:588:543 12196:28569:696:481 29293:2560:1263:775 29968:59513:718:279
(;	24828:58008:827:356
*	8777:48961:130:108 3027:48976:108:77
*&	27529:62043:675:325
*'.	39769:56192:413:217
,^"	26418:52204:2330:946
.	27050:61298:108:93 7579:46493:152:108 17162:31999:304:496 48329:56735:1154:450 27006:22610:239:667 57628:37818:130:77 54057:37818:130:77 55015:37554:326:341 57106:37803:108:93 54601:37818:108:77 58151:37818:130:77 28879:60289:108:46
:	8167:49876:196:698 17184:24612:283:496 55385:28507:1938:605
;	3027:50466:261:651
\	23892:61701:653:450 27442:59467:544:325 26026:57884:653:341
\.	23086:59281:609:356
'\?>	28770:61143:740:341
|	2112:49287:784:1862 46978:62043:348:574
<&	26723:61407:805:387
>	29271:60134:370:217
»	29642:59606:152:93 24371:55944:261:77
■	47022:59793:304:186
°	44430:55028:522:481
•	7993:32232:152:77
0	6991:57946:588:356
1	37047:52282:849:713
1.00	60983:50419:2526:729 38397:9714:3593:1505
1022	6207:41481:1393:325
1074	2744:36592:3223:341
1096	4704:11561:1045:325
11	55276:25590:1241:822
1107	18120:22284:1372:310
1109	21191:22253:1415:310
1121	51007:17396:1285:419
115	46456:40301:1001:403
12	55973:35211:500:294
13	19253:52204:718:372
15	48808:50373:849:744
15.00	55276:53058:1611:356
158	30927:22176:1001:294
15th	36350:45624:1611:496
16	2047:20608:936:372
1896	42470:1427:2025:450
2	58369:35227:239:279
211	54296:44212:1176:419
23	40727:1443:1110:512
233	20037:29966:1110:387
238	21387:48402:1088:496
23d	6294:20562:1589:403
2d	19601:47114:805:403
2s»-4:.00	9082:43529:5793:682
3	46151:23991:762:387 12523:26412:3811:915
3.00	4856:42660:5771:698 34411:41512:2003:496
35	6381:10335:1176:325
3nt	9365:29733:1350:434
4	55080:18870:696:744 39159:37927:522:372
4.00	36829:41496:1873:496 60961:53073:1306:341
49	50703:20763:1393:387
5	44844:28212:239:403
5.00	40684:41481:1829:512
50	34194:61453:457:248
535	9670:57930:1437:434
6	39704:61438:261:263
696	5662:61950:1328:465
7	27202:58008:457:217
739	49156:34575:805:434
74-3od	20233:42117:3288:512
751	39682:2576:2439:760
772	46347:47998:1132:387
773	8690:46276:980:341
777	39050:53306:1219:310
795	24981:23386:1524:558
801	9996:32014:1154:403
803	46347:31223:1132:496 36720:42660:1132:481
825	51835:47486:1589:543
84	52881:62182:784:403
866	27921:46524:1132:387
87	43428:37213:696:496
