—	50486:61207:846:46
by	13593:41705:912:567 17523:14546:955:583 16047:52154:868:583 53700:28248:933:583 5233:13671:760:444 1910:41736:955:583 2801:16142:738:444
c	8989:21159:521:444 2736:17354:694:429
called	39390:18228:2084:414
campus	36372:44973:2974:429
can	48662:48027:1129:276
candidate	50486:61683:3474:429
capt	61886:41536:1737:460 52115:40278:1780:460
celebrated	44189:47781:3843:429
center	33028:30473:2432:475 54938:38391:2084:398
cents	59932:10096:2540:444
chair	33071:15267:1954:429
chapel	2019:52139:2540:552 2801:14270:2323:460 41366:13840:2714:567 17502:24811:2540:583
chicago	34504:40401:2974:583 8099:34355:2996:598
christian	29119:15282:3365:429 2128:62328:3322:444
church	10010:55054:2670:552 20694:26284:2866:552 29749:29951:2692:444 25319:18934:2866:552 27099:24075:2670:444 17502:28494:2670:444
churches	29249:13809:3213:444 29293:22617:3170:429
city	27534:13825:1368:567
civil	52918:49300:1758:444
class	20324:52032:1824:444 20303:52783:1867:429 10162:44620:1867:444 20455:42641:1867:429 20433:46922:1867:444 15222:53627:1650:414 21540:41153:1845:444
classical	11834:12352:2714:398
club	2019:20469:1737:444 8338:31424:1498:444 11682:42426:1520:429 15200:12336:1693:444 15374:46124:1541:429 10184:35107:1520:429 15222:14193:1693:460 15352:32897:1541:429 12529:18689:2171:398
cochran	48684:42779:2605:368
cochrane	39260:34815:3626:552
col	46773:49254:1237:429 46773:47060:1259:414 62104:15850:1259:429
collection	7730:60149:3474:444 58304:19471:3474:460 59954:23154:3474:444 52115:25302:3474:444
collectorship	53678:62389:4820:537
college	29618:23338:2822:583 29792:16003:2692:567 33114:49254:2497:583 5949:16725:2497:444 57761:44651:3409:475
colonial	55937:50773:2996:444
com	15222:48472:1693:291 46317:39096:1715:291
coming	34504:22617:2670:567
commemorative	5580:14853:4994:398
commission	6818:55760:5081:567
committee	2128:61622:3930:444
compared	57066:49331:3691:567
competition	53722:55193:4256:567
complete	48575:20192:3300:567 54286:23860:3235:567
conducted	11986:52154:3713:414
conflict	22887:18213:2649:444
congregational	20476:24075:5645:598
conn	26687:10004:3126:537
constitution	56327:46385:4560:444
convenience	50464:17983:4386:444
cor	15547:29353:1302:291
corner	24168:30841:2323:291
corridors	41909:59474:3409:552
cross	45796:33358:2171:567 35785:35552:2149:429
crown	27099:30688:2410:444
customs	60106:62404:3235:429
d	13072:52876:846:444 14288:52876:1107:537 17523:27021:825:444 18739:27021:1085:552
daily	26752:2639:13745:15
day	9836:59428:1454:567 26991:12352:1563:583 24559:11370:1693:444
de	30965:35030:1476:368
decided	33071:19671:2779:429
defects	50595:46385:2736:429
defray	34070:21880:2366:583
depart	45427:46308:2605:583
department	37219:56558:4603:583 17567:55576:5037:429 5146:38790:4190:567 19304:57801:4408:567 17588:16740:4386:583
departments	19369:38084:4516:598
desirable	49531:22371:3213:444
develop	13919:38038:3018:567
dial	1932:30013:1389:429
dick	27925:24811:1976:552
discussed	9923:41690:3344:444
discussion	40823:15298:3626:429
divinity	21454:39695:3496:383
does	19499:18228:1585:429
dollars	42691:21159:2410:429
dr	39303:50697:1172:429 37305:47029:1150:444 5363:57233:1172:429 31247:20407:1172:444 21063:20423:1172:429
drawing	48532:12843:3018:583
dressing	60106:14362:3300:583
durfee	56110:11431:2844:552
during	33093:41889:2432:583 45514:21896:2453:598
dwight	17567:30688:3148:598 29662:17477:2822:583 8360:58676:2779:583
e	28185:29951:738:444
each	9359:40232:1563:429
edict	60193:52246:1997:444
eleven	43950:25271:2258:429
eloquent	29314:21144:3148:583
end	56588:40247:1064:398 38456:28939:1476:537 56241:36534:1129:383 43233:31148:1498:552
eng	61756:50789:1758:583
english	48640:47121:2801:583
enjoyed	50247:28248:2844:583
enrollment	17502:35030:4994:368
entific	1976:48334:2236:429
entrance	38326:43439:3278:475
especially	22735:16019:3561:567
etc	36306:58108:1194:352 40215:49316:1476:460
evening	11508:20423:2844:567 42321:13103:3061:583
exceed	61040:58844:2388:414
executive	11400:48318:3474:444
exhibit	44471:39695:2540:429
exhibition	37805:40401:3973:444
expenses	42039:22049:3148:429
extended	12551:29951:3278:429
eyck	58304:44022:2214:491 48597:55929:1889:583
f	20737:31424:738:444
faculty	1954:43930:2996:583
fair	56631:34064:1606:429 39043:41137:1585:429
farnam	59237:56635:2996:552
fencing	40649:58001:2736:583
few	33071:62404:1324:429 34135:51449:1324:429
field	45883:52170:2106:552
finally	45644:18965:2301:567
fincke	42712:34094:2736:552
first	27599:27742:1845:444
five	44840:47045:1302:429
fol	46751:28217:1216:429
following	20129:22617:3496:583
follows	56762:34800:2866:460 45079:42641:2909:444
football	40476:25271:2866:429
for	62321:17308:1107:429 8512:60870:1085:429 54677:61683:1085:398 15851:59474:1085:414 41757:25993:1085:429 5341:38053:1064:429 2041:35874:1064:429 12377:53597:1064:429 22909:11370:1281:368 17523:13073:1064:429 58608:55193:1085:429 52571:44022:1281:383
form	53939:58123:1715:414 7469:48318:1780:429
formed	14223:35107:2649:429
former	7013:27772:2540:414
formerly	12138:24811:3278:567
founded	3496:33649:2974:444
four	7383:21896:1520:429
francisco	44471:41153:3561:444
from	5884:13027:1520:383
full	44515:32637:1281:414 54156:42748:1346:368
game	33136:54533:1889:429 58586:33496:1932:429
gelbert	61235:36549:2366:383
general	3843:57970:2649:598 56414:14362:2822:429 41974:44099:2670:552 40280:45572:2649:567
ger	15265:22601:1650:444
gibraltar	50573:54441:3539:444
give	45101:18228:1541:583
given	17502:38836:2019:583 23669:19686:1997:583
goethe	11704:27742:3061:429
goodrich	12941:16050:3105:444 1997:24872:3387:444
gradu	29966:37347:2518:444
graduate	17610:57049:3365:429 26296:35015:4125:383 5493:43915:3257:583 17610:58507:3365:444 17567:51310:3365:444 17545:41153:3409:460 23234:61207:3257:567
grand	17610:61177:2280:444
graphs	33071:60225:2432:567
great	13007:22694:1910:491 4473:55776:2062:429
grounds	58586:34064:3278:567 33006:28202:3105:567
groups	52506:15942:2432:429
gruener	6384:46830:3170:552
guard	41909:29690:2366:583 55785:37777:1824:475 41822:30427:2323:567 56045:39020:1802:444
gymnasium	58846:25333:4581:598 48575:19441:4538:598 36350:52170:4408:567 38739:37946:5211:475 38977:42626:4256:583
h	43407:33342:846:444 54330:60962:825:414
half	44124:31900:1454:414 37045:32606:1476:429 56067:42119:1259:383 55676:41506:1216:368
hall	6427:17323:1541:444 14114:21144:1780:552 11899:58691:1737:567 17588:18213:1585:444
hamlin	9293:52860:2888:552 29466:26284:2931:537 22778:20407:2649:429 7144:57233:2692:414
handed	60844:55914:2584:429
hans	14614:25548:2301:414 10097:23353:1889:429 10444:15466:1585:352 14570:28463:2345:444 2019:28540:1824:429
hatch	45405:31133:2540:567
have	51029:21650:1715:414 61756:26085:1672:444
haven	50638:62404:2366:429 22670:10004:3561:537
he	10705:52139:803:429
hearing	27621:19671:2779:583
held	17545:13809:1520:429 38261:13088:1563:429 12746:39495:1563:429 7426:20453:1520:429 15374:54349:1541:429
henry	51355:60962:2345:552
hickok	44971:29690:2974:537
hinkey	42300:28939:2996:583
his	4581:29246:1259:444 46968:18244:998:429
history	1976:31470:2605:583
holly	48684:39649:1737:491
holmes	56697:45664:2888:414
honor	1976:21942:2128:429
horace's	50573:53719:3192:429
house	51789:47121:2236:429
hundredth	9380:21896:3821:429
i	32246:48687:108:184
immediately	2041:55039:4560:583
in	38196:58016:651:429 26079:58522:629:429 37718:50712:651:414 55567:33327:673:429 19434:13809:629:414 6992:45372:651:429 36176:19671:651:429 45318:14576:651:414 59281:11446:651:414 41236:41137:629:429 41019:54364:673:414 61040:20208:651:429 52419:55193:651:429 35959:42626:651:414 16264:21144:651:414 36372:13809:673:414 5146:21190:651:429 33093:43347:781:429 53353:14346:673:429 35394:54395:629:398 56002:58123:651:398 51550:58123:629:414 54438:59596:694:398 22909:35015:825:368 30074:36641:651:429 6709:33634:651:429 55111:11431:651:414 53678:46400:629:414 48619:50789:651:429 56154:25317:651:429 9858:38759:694:429 58043:24596:738:444 47229:37209:803:368 57609:15083:673:429 12268:36565:694:414 33071:59504:629:414 42256:40401:673:429 6861:58691:673:414 47316:62404:651:414 36024:47045:673:414 21084:62404:651:414 25232:57065:629:414 13397:51403:651:429
infirmary	40193:61668:3539:567
ing	48510:12106:1172:567 1997:38805:1194:567
instantaneous	40519:52906:4972:429
insti	46187:51433:1845:444
intended	58912:17292:3170:444
interest	9967:32897:2931:444
interested	8186:36565:3582:429
interior	35568:58752:2736:444
interiors	33114:55852:3018:444
international	12116:60870:4820:475
inter-state	52158:34048:3865:460
into	44992:16771:1411:429
invitation	19260:14546:3539:444 3582:29967:3539:460
invited	23777:32897:2605:444
is	23929:22617:542:429 13701:42426:564:429 5580:46124:542:429 11378:29951:542:429 58238:17277:521:429 5862:43163:542:444 10618:31409:542:444 31920:38099:564:429 22539:19686:542:429 59454:60962:542:398
it	5472:32913:542:444 4929:59428:673:444 42430:18934:651:460 30183:16725:651:444 48554:22371:521:429 43277:19686:673:429 54981:20192:542:429
its	1954:35138:912:444
j	32810:52783:43:659
jerrems	40997:32606:3257:567
john	23886:24811:1802:444
jr	29358:29230:1216:552
june	36372:54364:1976:552
junior	17545:52783:2410:429
juniors	17545:47643:2757:429 17523:43378:2757:444
kappa	45492:12367:2432:567 39108:11385:2931:444
kent	42452:56543:2366:598
kept	61626:27542:1824:583
klimpke	8295:27021:3148:567 11530:16679:2974:475
knapp	1954:34416:2670:567
knipe	59650:41506:1954:491
known	24450:21144:2475:444 1954:32207:2432:429
l	40758:28939:716:444
laboratories	57500:12167:4277:444 40215:55822:4299:444
land	48619:51525:1737:429
landiugs	36589:45556:3322:567
language	11791:14208:3170:475 7904:18704:4212:444 13311:19686:3648:583
languages	6796:37317:3626:567
large	35981:38928:1824:598 7078:32161:1802:583
largest	56653:28248:2475:598
last	40432:13103:1281:429 35829:41889:1281:429
latter	35004:52922:1976:414 10792:28494:1976:429
law	26383:37347:1606:444 22431:50589:1715:429
lea	48619:37148:1172:383
lection	33093:49991:2366:429
lections	33093:47781:2736:429 48554:16510:2757:444
lecture	45470:60225:2497:414
left	54677:36519:1324:383 39955:30412:1259:429 54113:37148:1324:368 54113:41506:1281:368 46708:25271:1281:444 41214:31133:1259:444 35481:32606:1259:444 33006:31133:1259:429 54221:37777:1324:368
lehigh	42604:26729:2605:598 40758:24274:3148:414
letton	36068:34815:2649:552
libraries	57413:13625:2953:444
licentiates	21084:40431:4060:429
life	6145:29230:1520:444 59650:53719:1650:444
line	39129:28202:1281:429
line-up	51246:31869:2497:567
list	25427:22617:1107:444
literary	43255:48502:2714:583
literatures	13245:37301:3713:444
lords	55394:47106:2106:444
lounsbury	8251:47566:3995:598
lower	39564:59489:2041:429
lows	33006:28939:1650:429
luquiens	1976:46124:3300:598
lyceum	48510:11354:3083:613
lyon	30509:27021:1910:567
m	26426:29951:933:444 9706:17430:738:260 21128:30120:1107:383 31290:25716:1107:383 3192:59596:803:276 27729:23507:1085:383 26318:24811:912:444 25862:27911:1085:398 7817:14362:738:245
made	58282:20208:2128:552
main	35872:43347:1780:429
make	57305:18750:1932:429 61517:21681:1932:444
man	1997:23553:1520:291
many	55806:21067:2019:444
marble	43060:44835:2497:444
march	52788:57387:2323:429
materials	50551:50037:3430:429
mathematical	41344:57295:4950:429
matt	12225:55791:1932:444
may	6210:33066:1541:429 48554:23982:1563:444
mccrea	44797:30412:3170:552
medical	21584:45449:3344:444
medicine	22453:37347:3561:567
meeting	42473:11385:3626:444 10857:57985:2909:583 2757:14899:2562:475 34852:12336:2953:598 3865:19717:2909:567
meetings	5146:54303:3452:567 4690:39511:3235:567 18935:11354:3734:460
meistersinger	4277:23369:5168:583
mem	14918:44053:1997:276
members	3409:30719:3235:429 25514:32161:3257:444 4581:41720:3213:429 38044:20423:3278:429 43407:16034:3300:429 10618:43163:3235:429
membership	3669:42426:4408:583
men	46317:48671:1672:383 21562:13242:1650:352 4668:60317:1693:383
men's	14874:61637:2084:429 26209:15282:2128:429
ments	33071:61775:2106:352 33093:47121:2410:460
middle	17523:42641:2584:429 17567:46907:2518:444
midwinter	34526:41137:3908:444
mills	33028:32606:2106:552
minds	61648:39664:1954:383
minutes	51290:59596:2844:429
mittee	2041:49055:2388:444
modern	3344:37317:2692:444 9858:19686:2888:444 9120:14224:2345:383 4147:18735:3300:383
month	11269:40232:2518:552
morning	6948:51387:3105:583 34938:25977:3083:583
morse	48619:41521:1889:368
mr	6579:27036:1324:444 10140:16694:1085:383
murphy	35742:29660:3235:598
museum	44667:58752:3300:552
nantes	48619:52998:2692:414
nathan	28185:31424:2757:444
near	30617:24059:1845:598
negative	39043:19686:3278:583
nent	48597:61760:1541:368
new	59585:50789:1693:444 19890:10004:2280:429 48597:62404:1672:444 43494:26008:1672:429 58130:21082:1454:291
newer	33093:46462:2171:291
news	43233:2639:10987:15
newton	40107:17477:2866:444
no	8816:10035:1324:444
not	59085:58906:1172:368 21388:18305:1150:352
noticed	18696:17492:2670:429
november	6318:12413:3235:368 36306:10019:5385:444 6362:24105:3843:429
now	6470:46262:1476:291 4972:34524:1520:306
number	59650:28279:2822:429 21106:13825:2822:429 9489:32161:2801:414
objects	54156:16541:2714:567
o'clock	1976:21205:2736:521 33006:27466:2518:429 33049:13794:2670:552
october	7665:33634:3105:537
