'	38391:9850:86:122
-	33440:19778:130:30 13419:7779:108:76 34830:15175:86:15
—	54981:47183:673:30 36415:57371:651:30 5841:22801:1758:260 50378:62680:694:46 36068:59474:629:30 35373:60839:651:46 56501:47152:694:92 62712:62588:694:76 35416:62220:608:30
"	59042:54517:325:138 63146:54456:238:138 54721:55024:325:153 17436:42395:369:199 36263:11968:347:138
"^	25471:5124:781:920
&	60062:57080:586:383 59042:18075:629:935 53874:47720:846:552 35025:30366:1281:782 34743:63233:499:368 55459:60241:846:567
*	32854:15114:238:245
*"	32854:12950:564:322
,	43646:15819:108:138
.	49661:54932:260:61
:	28098:47643:108:260
?	12551:8423:238:276 12724:48702:282:276
\	53396:54333:803:659 53244:49193:716:491
]	33874:15021:130:337
-_	18066:13226:868:61
_^	27208:11815:369:153
_™	21714:3728:5016:383
|\	30965:9298:1172:567
>	58955:49147:108:122 35134:19640:108:122
»	62473:33757:1085:1718
■	7144:56282:65:61
£	35612:8500:390:337
0	62581:37608:998:997 17436:13226:456:260
00	29423:28754:3061:659
0t	54981:48947:651:230
1	25927:19870:217:230 20628:13288:369:398 28815:14853:325:260 50855:48825:217:583 40584:9866:629:337
1.00	60453:52737:1650:475
1.50	59585:50298:1824:475 48640:53259:1737:460 61821:53950:1606:475
10	40649:1933:933:460
10.00	5428:8469:1389:322
1000	4603:28263:2258:690
1006	7969:49438:1628:306
104-106	4798:63233:3843:491
110u«f	12312:62251:4277:629
127	2041:37992:1302:352
147	38326:61253:998:352
15	38847:56282:803:352
16	43320:55668:629:368
163	40606:63218:998:352
1818	42104:3222:1194:276
1894	42191:1933:1780:368
1894-95	42560:7840:2562:368
2.00	61821:50313:1672:460
2.50	48662:50819:1585:475
20.00	48640:52753:2106:475
22d	39846:5370:1064:337
23	7773:43899:499:276
25	31660:59627:738:352
2z	27295:28739:1498:659
3	40780:45664:564:460
3.30	17523:59658:1454:368
4	43581:59289:304:322
40	51073:24857:1020:552
5	5537:10679:499:444
5.00	3430:8485:1129:322
6	35264:58399:304:352
63	2041:5692:955:368
730	6275:10664:1042:352
820	53179:42058:1237:429
890	3365:44605:2280:475
93	19890:43101:977:414
95	23625:34708:1237:552 45383:37961:1324:537 37870:37961:1281:521 37501:37209:1302:537 46643:37224:1324:537 36285:40155:977:414 24059:36365:998:429 42104:39419:955:429 47012:40171:977:414 44254:47060:1216:537 43451:47812:998:398
96	41192:40892:1302:552 42300:51464:977:414 33028:51464:1302:537 33006:41628:1302:521 40953:41644:977:414
97	34982:42365:1302:537 44146:48533:1237:521 41540:42380:977:429 37023:52200:977:429 40584:49254:1281:521
98	29640:56497:1433:383 21627:56512:1433:491
9s	38673:50727:1302:537 46990:38698:977:414 37805:38667:977:429
a	6514:40539:325:245 22670:48932:825:444 39694:37946:781:429 41974:38667:825:444 36133:62005:456:337 36089:60624:521:368 7773:8516:260:199 20042:13226:217:184 33006:37178:803:444 47490:9482:304:230 34830:41613:803:444 49162:8224:716:444 33028:50712:825:429 5016:47075:499:337 7643:55285:390:291 29162:8608:803:322 19543:49684:825:414 17415:51142:825:444 28229:49684:1020:537 26991:49684:825:414 61800:58768:434:276 19782:13288:608:398 27816:19732:651:352 30118:37240:390:291 22909:14684:347:322
a^feu	23386:31562:6340:583
a_iixi	5819:48687:3843:460
aa	10596:9037:1064:306
abtistic	2019:57018:6253:736
access	36871:19947:1976:245
addition	43407:9344:2649:368
adee	35373:37915:2084:567
admission	24298:59550:3539:444
aet	8555:36626:2497:1028
